file,site,year,good_pixels,total_pixels,percent_good_pixels
/projectnb/modislc/users/fache/data/planet/PLSP_production_nc/ARM_Southern_Great_Plains_site/US-ARM_ARM_Southern_Great_Plains_site_PLSP_2017.nc,ARM_Southern_Great_Plains_site,2017,1423527,11108889,12.814%
/projectnb/modislc/users/fache/data/planet/PLSP_production_nc/ARM_Southern_Great_Plains_site/US-ARM_ARM_Southern_Great_Plains_site_PLSP_2018.nc,ARM_Southern_Great_Plains_site,2018,8077799,11108889,72.715%
/projectnb/modislc/users/fache/data/planet/PLSP_production_nc/ARM_Southern_Great_Plains_site/US-ARM_ARM_Southern_Great_Plains_site_PLSP_2019.nc,ARM_Southern_Great_Plains_site,2019,9203952,11108889,82.852%
/projectnb/modislc/users/fache/data/planet/PLSP_production_nc/ARM_Southern_Great_Plains_site/US-ARM_ARM_Southern_Great_Plains_site_PLSP_2020.nc,ARM_Southern_Great_Plains_site,2020,9200454,11108889,82.821%
/projectnb/modislc/users/fache/data/planet/PLSP_production_nc/ARM_Southern_Great_Plains_site/US-ARM_ARM_Southern_Great_Plains_site_PLSP_2021.nc,ARM_Southern_Great_Plains_site,2021,9731474,11108889,87.601%
/projectnb/modislc/users/fache/data/planet/PLSP_production_nc/Mountainair_Pinyon-Juniper_Woodland/US-Mpj_Mountainair_Pinyon-Juniper_Woodland_PLSP_2017.nc,Mountainair_Pinyon-Juniper_Woodland,2017,68471,11112222,0.616%
/projectnb/modislc/users/fache/data/planet/PLSP_production_nc/Mountainair_Pinyon-Juniper_Woodland/US-Mpj_Mountainair_Pinyon-Juniper_Woodland_PLSP_2018.nc,Mountainair_Pinyon-Juniper_Woodland,2018,291412,11112222,2.622%
/projectnb/modislc/users/fache/data/planet/PLSP_production_nc/Mountainair_Pinyon-Juniper_Woodland/US-Mpj_Mountainair_Pinyon-Juniper_Woodland_PLSP_2019.nc,Mountainair_Pinyon-Juniper_Woodland,2019,208938,11112222,1.880%
/projectnb/modislc/users/fache/data/planet/PLSP_production_nc/Mountainair_Pinyon-Juniper_Woodland/US-Mpj_Mountainair_Pinyon-Juniper_Woodland_PLSP_2020.nc,Mountainair_Pinyon-Juniper_Woodland,2020,405590,11112222,3.650%
/projectnb/modislc/users/fache/data/planet/PLSP_production_nc/Mountainair_Pinyon-Juniper_Woodland/US-Mpj_Mountainair_Pinyon-Juniper_Woodland_PLSP_2021.nc,Mountainair_Pinyon-Juniper_Woodland,2021,5378824,11112222,48.405%
