file,site,year,good_pixels,total_pixels,percent_good_pixels
/projectnb/modislc/users/fache/data/planet/PLSP_production_nc/ARM_Southern_Great_Plains_site/US-ARM_ARM_Southern_Great_Plains_site_PLSP_2017.nc,ARM_Southern_Great_Plains_site,2017,10893922,11108889,98.065%
/projectnb/modislc/users/fache/data/planet/PLSP_production_nc/ARM_Southern_Great_Plains_site/US-ARM_ARM_Southern_Great_Plains_site_PLSP_2018.nc,ARM_Southern_Great_Plains_site,2018,10655532,11108889,95.919%
/projectnb/modislc/users/fache/data/planet/PLSP_production_nc/ARM_Southern_Great_Plains_site/US-ARM_ARM_Southern_Great_Plains_site_PLSP_2019.nc,ARM_Southern_Great_Plains_site,2019,10939148,11108889,98.472%
/projectnb/modislc/users/fache/data/planet/PLSP_production_nc/ARM_Southern_Great_Plains_site/US-ARM_ARM_Southern_Great_Plains_site_PLSP_2020.nc,ARM_Southern_Great_Plains_site,2020,10979489,11108889,98.835%
/projectnb/modislc/users/fache/data/planet/PLSP_production_nc/ARM_Southern_Great_Plains_site/US-ARM_ARM_Southern_Great_Plains_site_PLSP_2021.nc,ARM_Southern_Great_Plains_site,2021,10900713,11108889,98.126%
/projectnb/modislc/users/fache/data/planet/PLSP_production_nc/Mountainair_Pinyon-Juniper_Woodland/US-Mpj_Mountainair_Pinyon-Juniper_Woodland_PLSP_2017.nc,Mountainair_Pinyon-Juniper_Woodland,2017,816851,11112222,7.351%
/projectnb/modislc/users/fache/data/planet/PLSP_production_nc/Mountainair_Pinyon-Juniper_Woodland/US-Mpj_Mountainair_Pinyon-Juniper_Woodland_PLSP_2018.nc,Mountainair_Pinyon-Juniper_Woodland,2018,530054,11112222,4.770%
/projectnb/modislc/users/fache/data/planet/PLSP_production_nc/Mountainair_Pinyon-Juniper_Woodland/US-Mpj_Mountainair_Pinyon-Juniper_Woodland_PLSP_2019.nc,Mountainair_Pinyon-Juniper_Woodland,2019,248567,11112222,2.237%
/projectnb/modislc/users/fache/data/planet/PLSP_production_nc/Mountainair_Pinyon-Juniper_Woodland/US-Mpj_Mountainair_Pinyon-Juniper_Woodland_PLSP_2020.nc,Mountainair_Pinyon-Juniper_Woodland,2020,838605,11112222,7.547%
/projectnb/modislc/users/fache/data/planet/PLSP_production_nc/Mountainair_Pinyon-Juniper_Woodland/US-Mpj_Mountainair_Pinyon-Juniper_Woodland_PLSP_2021.nc,Mountainair_Pinyon-Juniper_Woodland,2021,6426028,11112222,57.828%
/projectnb/modislc/users/fache/data/planet/PLSP_production_nc/NEON_Konza_Prairie_Biological_Station/US-xKZ_NEON_Konza_Prairie_Biological_Station_PLSP_2017.nc,NEON_Konza_Prairie_Biological_Station,2017,11020912,11108889,99.208%
/projectnb/modislc/users/fache/data/planet/PLSP_production_nc/NEON_Konza_Prairie_Biological_Station/US-xKZ_NEON_Konza_Prairie_Biological_Station_PLSP_2018.nc,NEON_Konza_Prairie_Biological_Station,2018,11005468,11108889,99.069%
/projectnb/modislc/users/fache/data/planet/PLSP_production_nc/NEON_Konza_Prairie_Biological_Station/US-xKZ_NEON_Konza_Prairie_Biological_Station_PLSP_2019.nc,NEON_Konza_Prairie_Biological_Station,2019,11003177,11108889,99.048%
/projectnb/modislc/users/fache/data/planet/PLSP_production_nc/NEON_Konza_Prairie_Biological_Station/US-xKZ_NEON_Konza_Prairie_Biological_Station_PLSP_2020.nc,NEON_Konza_Prairie_Biological_Station,2020,11018048,11108889,99.182%
/projectnb/modislc/users/fache/data/planet/PLSP_production_nc/NEON_Konza_Prairie_Biological_Station/US-xKZ_NEON_Konza_Prairie_Biological_Station_PLSP_2021.nc,NEON_Konza_Prairie_Biological_Station,2021,11023636,11108889,99.233%
/projectnb/modislc/users/fache/data/planet/PLSP_production_nc/Santa_Rita_Experimental_Range_NEON/US-xSR_NEON_Santa_Rita_Experimental_Range_PLSP_2017.nc,Santa_Rita_Experimental_Range_NEON,2017,1952192,11112222,17.568%
/projectnb/modislc/users/fache/data/planet/PLSP_production_nc/Santa_Rita_Experimental_Range_NEON/US-xSR_NEON_Santa_Rita_Experimental_Range_PLSP_2018.nc,Santa_Rita_Experimental_Range_NEON,2018,1434183,11112222,12.906%
/projectnb/modislc/users/fache/data/planet/PLSP_production_nc/Santa_Rita_Experimental_Range_NEON/US-xSR_NEON_Santa_Rita_Experimental_Range_PLSP_2019.nc,Santa_Rita_Experimental_Range_NEON,2019,426065,11112222,3.834%
/projectnb/modislc/users/fache/data/planet/PLSP_production_nc/Santa_Rita_Experimental_Range_NEON/US-xSR_NEON_Santa_Rita_Experimental_Range_PLSP_2020.nc,Santa_Rita_Experimental_Range_NEON,2020,7916,11112222,0.071%
/projectnb/modislc/users/fache/data/planet/PLSP_production_nc/Santa_Rita_Experimental_Range_NEON/US-xSR_NEON_Santa_Rita_Experimental_Range_PLSP_2021.nc,Santa_Rita_Experimental_Range_NEON,2021,10124413,11112222,91.111%
/projectnb/modislc/users/fache/data/planet/PLSP_production_nc/Santa_Rita_Grassland/US-SRG_Santa_Rita_Grassland_PLSP_2017.nc,Santa_Rita_Grassland,2017,10803824,11112222,97.225%
/projectnb/modislc/users/fache/data/planet/PLSP_production_nc/Santa_Rita_Grassland/US-SRG_Santa_Rita_Grassland_PLSP_2018.nc,Santa_Rita_Grassland,2018,9384916,11112222,84.456%
/projectnb/modislc/users/fache/data/planet/PLSP_production_nc/Santa_Rita_Grassland/US-SRG_Santa_Rita_Grassland_PLSP_2019.nc,Santa_Rita_Grassland,2019,6922006,11112222,62.292%
/projectnb/modislc/users/fache/data/planet/PLSP_production_nc/Santa_Rita_Grassland/US-SRG_Santa_Rita_Grassland_PLSP_2020.nc,Santa_Rita_Grassland,2020,1324586,11112222,11.920%
/projectnb/modislc/users/fache/data/planet/PLSP_production_nc/Santa_Rita_Grassland/US-SRG_Santa_Rita_Grassland_PLSP_2021.nc,Santa_Rita_Grassland,2021,11095487,11112222,99.849%
/projectnb/modislc/users/fache/data/planet/PLSP_production_nc/Santa_Rita_Mesquite/US-SRM_Santa_Rita_Mesquite_PLSP_2017.nc,Santa_Rita_Mesquite,2017,9326148,11112222,83.927%
/projectnb/modislc/users/fache/data/planet/PLSP_production_nc/Santa_Rita_Mesquite/US-SRM_Santa_Rita_Mesquite_PLSP_2018.nc,Santa_Rita_Mesquite,2018,6292942,11112222,56.631%
/projectnb/modislc/users/fache/data/planet/PLSP_production_nc/Santa_Rita_Mesquite/US-SRM_Santa_Rita_Mesquite_PLSP_2019.nc,Santa_Rita_Mesquite,2019,4104831,11112222,36.940%
/projectnb/modislc/users/fache/data/planet/PLSP_production_nc/Santa_Rita_Mesquite/US-SRM_Santa_Rita_Mesquite_PLSP_2020.nc,Santa_Rita_Mesquite,2020,66369,11112222,0.597%
/projectnb/modislc/users/fache/data/planet/PLSP_production_nc/Santa_Rita_Mesquite/US-SRM_Santa_Rita_Mesquite_PLSP_2021.nc,Santa_Rita_Mesquite,2021,11088831,11112222,99.790%
/projectnb/modislc/users/fache/data/planet/PLSP_production_nc/Sevilleta_shrubland/US-Ses_Sevilleta_shrubland_PLSP_2017.nc,Sevilleta_shrubland,2017,266198,11108889,2.396%
/projectnb/modislc/users/fache/data/planet/PLSP_production_nc/Sevilleta_shrubland/US-Ses_Sevilleta_shrubland_PLSP_2018.nc,Sevilleta_shrubland,2018,38546,11108889,0.347%
/projectnb/modislc/users/fache/data/planet/PLSP_production_nc/Sevilleta_shrubland/US-Ses_Sevilleta_shrubland_PLSP_2019.nc,Sevilleta_shrubland,2019,6925,11108889,0.062%
