row,col,x,y,year,OGI,50PCGI,OGMx,Peak,OGD,50PCGD,OGMn,NumCycles,QA
16,28,415924.5,3814624.5,2022,151.0,209.0,229.0,238.0,249.0,268.0,308.0,1.0,1.0
11,48,415984.5,3814639.5,2022,149.0,210.0,229.0,239.0,249.0,269.0,308.0,1.0,1.0
10,81,416083.5,3814642.5,2022,150.0,211.0,231.0,241.0,252.0,271.0,306.0,1.0,1.0
17,113,416179.5,3814621.5,2022,146.0,212.0,231.0,241.0,252.0,272.0,306.0,1.0,1.0
7,121,416203.5,3814651.5,2022,153.0,211.0,231.0,241.0,252.0,272.0,306.0,1.0,1.0
22,153,416299.5,3814606.5,2022,150.0,209.0,230.0,240.0,251.0,272.0,309.0,1.0,1.0
10,181,416383.5,3814642.5,2022,149.0,183.0,230.0,241.0,252.0,272.0,305.0,1.0,1.0
29,226,416518.5,3814585.5,2022,152.0,185.0,231.0,241.0,251.0,271.0,311.0,1.0,1.0
28,266,416638.5,3814588.5,2022,148.0,210.0,230.0,240.0,250.0,271.0,304.0,1.0,1.0
25,278,416674.5,3814597.5,2022,149.0,213.0,231.0,240.0,250.0,269.0,303.0,1.0,1.0
9,308,416764.5,3814645.5,2022,149.0,213.0,231.0,240.0,250.0,269.0,305.0,1.0,1.0
11,359,416917.5,3814639.5,2022,144.0,209.0,229.0,238.0,249.0,267.0,302.0,1.0,1.0
12,376,416968.5,3814636.5,2022,144.0,206.0,229.0,239.0,249.0,269.0,305.0,1.0,1.0
24,416,417088.5,3814600.5,2022,151.0,209.0,229.0,238.0,248.0,266.0,293.0,1.0,1.0
19,430,417130.5,3814615.5,2022,151.0,209.0,229.0,238.0,247.0,265.0,295.0,1.0,1.0
14,460,417220.5,3814630.5,2022,160.0,209.0,228.0,237.0,247.0,265.0,292.0,1.0,1.0
28,495,417325.5,3814588.5,2022,148.0,209.0,228.0,237.0,246.0,263.0,287.0,1.0,1.0
11,531,417433.5,3814639.5,2022,166.0,211.0,229.0,237.0,246.0,263.0,287.0,1.0,1.0
6,564,417532.5,3814654.5,2022,156.0,208.0,228.0,237.0,247.0,265.0,289.0,1.0,1.0
2,576,417568.5,3814666.5,2022,147.0,208.0,229.0,238.0,248.0,266.0,295.0,1.0,1.0
10,611,417673.5,3814642.5,2022,158.0,213.0,230.0,238.0,248.0,265.0,291.0,1.0,1.0
0,642,417766.5,3814672.5,2022,152.0,211.0,230.0,239.0,249.0,268.0,298.0,1.0,1.0
20,680,417880.5,3814612.5,2022,131.0,214.0,231.0,240.0,250.0,270.0,300.0,1.0,1.0
8,694,417922.5,3814648.5,2022,164.0,214.0,230.0,239.0,248.0,266.0,292.0,1.0,1.0
2,731,418033.5,3814666.5,2022,159.0,215.0,232.0,241.0,252.0,273.0,304.0,1.0,1.0
26,778,418174.5,3814594.5,2022,153.0,215.0,234.0,244.0,255.0,276.0,313.0,1.0,1.0
24,789,418207.5,3814600.5,2022,155.0,216.0,234.0,244.0,255.0,275.0,318.0,1.0,1.0
17,835,418345.5,3814621.5,2022,147.0,214.0,233.0,242.0,253.0,279.0,319.0,1.0,1.0
21,856,418408.5,3814609.5,2022,131.0,210.0,232.0,242.0,253.0,276.0,321.0,1.0,1.0
19,877,418471.5,3814615.5,2022,114.0,208.0,230.0,240.0,251.0,273.0,307.0,1.0,1.0
24,918,418594.5,3814600.5,2022,155.0,212.0,232.0,241.0,252.0,273.0,311.0,1.0,1.0
1,942,418666.5,3814669.5,2022,156.0,215.0,233.0,242.0,253.0,273.0,303.0,1.0,1.0
11,985,418795.5,3814639.5,2022,138.0,214.0,233.0,243.0,253.0,274.0,318.0,1.0,1.0
9,990,418810.5,3814645.5,2022,147.0,215.0,234.0,243.0,254.0,276.0,316.0,1.0,1.0
29,1028,418924.5,3814585.5,2022,140.0,185.0,232.0,242.0,252.0,274.0,313.0,1.0,1.0
5,1057,419011.5,3814657.5,2022,149.0,210.0,231.0,241.0,251.0,271.0,310.0,1.0,1.0
11,1105,419155.5,3814639.5,2022,150.0,213.0,231.0,240.0,250.0,272.0,317.0,1.0,1.0
6,1138,419254.5,3814654.5,2022,143.0,184.0,230.0,239.0,250.0,274.0,319.0,1.0,2.0
21,1166,419338.5,3814609.5,2022,141.0,212.0,230.0,239.0,248.0,268.0,304.0,1.0,2.0
28,1198,419434.5,3814588.5,2022,157.0,212.0,230.0,238.0,248.0,268.0,302.0,1.0,1.0
26,1216,419488.5,3814594.5,2022,150.0,210.0,230.0,240.0,249.0,270.0,300.0,1.0,2.0
6,1251,419593.5,3814654.5,2022,143.0,205.0,229.0,238.0,249.0,269.0,297.0,1.0,1.0
7,1278,419674.5,3814651.5,2022,140.0,184.0,228.0,237.0,246.0,266.0,304.0,1.0,2.0
8,1293,419719.5,3814648.5,2022,158.0,208.0,229.0,238.0,250.0,275.0,306.0,1.0,1.0
25,1338,419854.5,3814597.5,2022,147.0,206.0,228.0,238.0,248.0,272.0,304.0,1.0,1.0
12,1352,419896.5,3814636.5,2022,135.0,196.0,227.0,236.0,246.0,267.0,311.0,1.0,1.0
29,1408,420064.5,3814585.5,2022,152.0,188.0,227.0,236.0,246.0,269.0,303.0,1.0,1.0
6,1438,420154.5,3814654.5,2022,139.0,199.0,226.0,236.0,246.0,270.0,305.0,1.0,1.0
24,1458,420214.5,3814600.5,2022,154.0,203.0,228.0,237.0,247.0,271.0,307.0,1.0,1.0
7,1492,420316.5,3814651.5,2022,153.0,186.0,228.0,238.0,249.0,274.0,303.0,1.0,1.0
20,1518,420394.5,3814612.5,2022,152.0,182.0,228.0,238.0,249.0,273.0,307.0,1.0,1.0
