,OGI,50PCGI,OGMx,Peak,OGD,50PCGD,OGMn,DurGU,DurGD,LOS
OGI,1.0,0.42320606594910815,-0.001384386625058551,-0.08653990410040761,-0.19659887654385025,-0.28504513898237677,-0.26553321290966425,-0.957944632029367,-0.19389122340384768,-0.900843098432594
50PCGI,0.42320606594910815,1.0,0.4509833565082159,0.35391438973099415,0.21253248507752,-0.07521599357917595,-0.15836733709057393,-0.2758286621434829,-0.26261830273715564,-0.40195296084718735
OGMx,-0.001384386625058551,0.4509833565082159,1.0,0.9512047104962141,0.7564994432027246,0.10454032433595699,0.03295038469231243,0.28827899139803287,-0.3022232867240237,0.015919474137327812
Peak,-0.08653990410040761,0.35391438973099415,0.9512047104962141,1.0,0.8943338909294234,0.2875805412230742,0.15172141129049718,0.3558174608086774,-0.23773537142294354,0.13593279382347906
OGD,-0.19659887654385025,0.21253248507752,0.7564994432027246,0.8943338909294234,1.0,0.61370783100661,0.3413758860488018,0.4053328075548002,-0.08376190976074166,0.30732199303217045
50PCGD,-0.28504513898237677,-0.07521599357917595,0.10454032433595699,0.2875805412230742,0.61370783100661,1.0,0.6168077974187565,0.30294242429038953,0.3804063411694301,0.5004522651517156
OGMn,-0.26553321290966425,-0.15836733709057393,0.03295038469231243,0.15172141129049718,0.3413758860488018,0.6168077974187565,1.0,0.2637158558064015,0.9080294707108812,0.6577635127378535
DurGU,-0.957944632029367,-0.2758286621434829,0.28827899139803287,0.3558174608086774,0.4053328075548002,0.30294242429038953,0.2637158558064015,1.0,0.09893604019765294,0.8671680933876649
DurGD,-0.19389122340384768,-0.26261830273715564,-0.3022232867240237,-0.23773537142294354,-0.08376190976074166,0.3804063411694301,0.9080294707108812,0.09893604019765294,1.0,0.5603764542314513
LOS,-0.900843098432594,-0.40195296084718735,0.015919474137327812,0.13593279382347906,0.30732199303217045,0.5004522651517156,0.6577635127378535,0.8671680933876649,0.5603764542314513,1.0
