row,col,x,y,year,gmm_full_k3,gmm_full_k4,gmm_full_k5,gmm_full_k6,gmm_full_k7,gmm_full_k8,gmm_full_k9,gmm_full_k10,gmm_full_k11,gmm_full_k12,gmm_full_k13,gmm_full_k14,gmm_full_k15,gmm_full_k16,gmm_full_k17,gmm_full_k18,gmm_full_k19,gmm_full_k20,gmm_diag_k3,gmm_diag_k4,gmm_diag_k5,gmm_diag_k6,gmm_diag_k7,gmm_diag_k8,gmm_diag_k9,gmm_diag_k10,gmm_diag_k11,gmm_diag_k12,gmm_diag_k13,gmm_diag_k14,gmm_diag_k15,gmm_diag_k16,gmm_diag_k17,gmm_diag_k18,gmm_diag_k19,gmm_diag_k20
16,28,415924.5,3814624.5,2022,1,2,4,2,3,1,3,2,1,11,1,4,1,9,13,12,10,11,2,2,3,2,4,4,5,1,0,3,2,13,14,9,10,5,1,19
11,48,415984.5,3814639.5,2022,1,2,4,2,3,1,3,2,1,11,1,4,1,9,13,12,10,11,2,3,3,2,4,4,5,8,0,9,7,13,14,9,10,5,1,19
10,81,416083.5,3814642.5,2022,1,2,4,2,3,1,3,2,1,11,1,4,1,9,13,1,7,11,2,3,1,5,4,7,5,8,0,9,7,1,10,0,1,10,13,4
17,113,416179.5,3814621.5,2022,1,2,4,2,3,1,3,2,1,11,1,4,1,9,13,1,7,2,2,3,1,5,0,7,5,8,0,9,7,12,10,0,1,12,13,5
7,121,416203.5,3814651.5,2022,1,2,4,2,3,1,3,2,1,11,1,4,1,9,13,1,7,11,2,3,1,5,4,7,5,8,0,9,7,1,10,0,1,10,13,4
22,153,416299.5,3814606.5,2022,1,2,4,2,3,1,3,2,1,11,1,4,1,9,13,12,7,11,2,3,1,5,0,7,5,8,0,9,7,12,14,9,10,5,1,19
10,181,416383.5,3814642.5,2022,2,0,3,0,4,3,6,8,2,1,6,7,0,10,1,14,1,0,2,3,1,5,0,7,5,3,2,10,2,13,4,15,5,8,14,17
29,226,416518.5,3814585.5,2022,2,0,3,0,4,3,6,8,2,1,6,7,0,10,1,14,1,0,2,3,1,5,0,7,5,3,2,10,2,13,4,15,3,8,8,17
28,266,416638.5,3814588.5,2022,1,2,4,2,3,1,3,2,1,11,1,4,1,9,13,1,7,11,2,2,3,2,4,4,5,8,0,9,7,1,14,0,1,5,1,19
25,278,416674.5,3814597.5,2022,1,2,4,2,3,1,3,2,1,11,1,4,1,9,13,1,7,2,2,2,3,2,4,4,8,8,0,9,7,1,10,0,1,10,13,4
9,308,416764.5,3814645.5,2022,1,2,4,2,3,1,3,2,1,11,1,4,1,9,13,1,7,11,2,2,3,2,4,4,5,8,0,9,7,1,10,0,1,10,13,19
11,359,416917.5,3814639.5,2022,1,2,4,2,3,1,3,2,1,11,12,2,1,9,13,9,7,11,2,2,3,2,4,4,8,1,6,0,3,5,14,1,4,5,1,2
12,376,416968.5,3814636.5,2022,1,2,4,2,3,1,3,2,1,9,2,13,13,2,14,12,0,17,2,2,3,2,4,4,5,1,0,9,2,13,14,9,10,5,1,19
24,416,417088.5,3814600.5,2022,1,2,4,2,3,1,3,2,1,0,12,2,2,0,4,9,17,15,2,2,3,2,4,4,8,1,6,0,3,5,0,1,4,2,7,2
19,430,417130.5,3814615.5,2022,1,2,4,2,3,1,3,2,1,0,12,2,2,0,4,9,17,15,2,2,3,2,4,4,8,1,6,0,3,5,0,1,4,2,7,2
14,460,417220.5,3814630.5,2022,1,2,4,2,3,1,3,2,1,0,12,2,2,0,4,9,17,15,2,2,3,2,4,4,8,1,6,0,3,5,0,1,4,2,7,2
28,495,417325.5,3814588.5,2022,1,2,4,2,3,1,3,2,1,0,12,2,2,0,4,9,17,15,2,2,3,2,4,4,8,1,6,0,3,5,0,1,4,2,7,2
11,531,417433.5,3814639.5,2022,1,2,4,2,3,1,3,2,1,0,12,2,2,0,4,9,17,15,2,2,3,2,4,4,8,1,6,0,3,5,0,1,4,2,7,2
6,564,417532.5,3814654.5,2022,1,2,4,2,3,1,3,2,1,0,12,2,2,0,4,9,17,15,2,2,3,2,4,4,8,1,6,0,3,5,0,1,4,2,7,2
2,576,417568.5,3814666.5,2022,1,2,4,2,3,1,3,2,1,0,12,2,2,0,4,9,17,15,2,2,3,2,4,4,8,1,6,0,3,5,0,1,4,2,7,2
10,611,417673.5,3814642.5,2022,1,2,4,2,3,1,3,2,1,0,12,2,2,0,4,9,17,15,2,2,3,2,4,4,8,1,6,0,3,5,0,1,4,2,7,2
0,642,417766.5,3814672.5,2022,1,2,4,2,3,1,3,2,1,0,12,2,2,0,4,9,17,15,2,2,3,2,4,4,8,1,6,0,3,1,0,1,4,2,7,2
20,680,417880.5,3814612.5,2022,1,2,4,3,0,4,0,0,9,9,8,3,13,2,5,16,4,5,0,0,1,2,2,6,3,9,5,11,10,9,13,6,14,11,5,13
8,694,417922.5,3814648.5,2022,1,2,4,2,3,1,3,2,1,11,12,2,1,9,13,1,17,2,2,2,3,2,4,4,8,1,6,0,3,5,0,1,4,2,7,2
2,731,418033.5,3814666.5,2022,1,2,4,2,3,1,3,2,1,11,1,4,1,9,13,1,7,2,2,2,1,2,4,4,8,8,0,9,7,1,10,0,1,10,13,4
26,778,418174.5,3814594.5,2022,1,2,4,2,3,4,3,2,9,11,1,4,1,9,13,1,7,11,2,3,1,5,0,7,5,8,0,9,7,12,12,0,3,12,8,5
24,789,418207.5,3814600.5,2022,1,2,4,2,3,1,3,2,1,11,1,4,1,9,13,1,7,11,2,3,1,5,0,7,5,8,0,9,9,12,12,12,3,12,8,5
17,835,418345.5,3814621.5,2022,1,2,4,1,0,4,0,0,9,11,1,4,1,9,13,6,7,11,2,3,1,5,0,7,5,8,0,9,9,12,12,12,3,12,6,5
21,856,418408.5,3814609.5,2022,1,2,0,3,0,4,0,0,9,9,8,3,13,2,5,16,4,5,0,0,0,0,3,0,1,4,3,5,4,2,9,13,12,0,16,1
19,877,418471.5,3814615.5,2022,1,2,0,3,0,4,0,0,9,9,8,3,13,2,5,16,4,5,0,0,0,0,3,0,7,0,8,2,4,8,9,3,2,0,18,11
24,918,418594.5,3814600.5,2022,1,2,4,2,3,1,3,2,1,11,1,4,1,9,13,12,7,11,2,3,1,5,0,7,5,8,0,9,7,12,10,0,1,12,8,5
1,942,418666.5,3814669.5,2022,1,2,4,2,3,1,3,2,1,11,1,4,1,9,13,1,7,2,2,2,1,5,4,4,5,8,0,9,7,1,10,0,1,10,13,4
