row,col,x,y,year,kmeans_k3,kmeans_k4,kmeans_k5,kmeans_k6,kmeans_k7,kmeans_k8,kmeans_k9,kmeans_k10,kmeans_k11,kmeans_k12,kmeans_k13,kmeans_k14,kmeans_k15,kmeans_k16,kmeans_k17,kmeans_k18,kmeans_k19,kmeans_k20
16,28,415924.5,3814624.5,2022,0,3,4,3,3,4,3,7,10,10,11,9,7,12,7,11,14,16
11,48,415984.5,3814639.5,2022,0,0,4,3,3,4,3,9,10,10,11,9,7,12,7,11,14,16
10,81,416083.5,3814642.5,2022,0,0,4,3,3,4,5,9,4,10,0,9,7,3,9,10,4,1
17,113,416179.5,3814621.5,2022,0,0,4,3,3,2,5,9,4,10,0,9,7,3,9,10,4,1
7,121,416203.5,3814651.5,2022,0,0,4,3,3,4,5,9,4,10,0,9,7,3,9,10,4,1
22,153,416299.5,3814606.5,2022,0,0,4,3,3,2,5,9,4,10,0,9,7,3,9,11,4,16
10,181,416383.5,3814642.5,2022,0,0,4,1,5,4,2,0,1,5,9,13,10,1,0,8,2,2
29,226,416518.5,3814585.5,2022,0,0,4,1,5,2,2,0,1,5,9,13,11,1,0,8,2,2
28,266,416638.5,3814588.5,2022,0,3,4,3,3,4,3,7,10,10,0,9,7,3,9,10,4,1
25,278,416674.5,3814597.5,2022,0,3,4,3,3,4,3,7,10,10,6,9,7,3,9,10,4,1
9,308,416764.5,3814645.5,2022,0,3,4,3,3,4,3,7,10,10,0,9,7,3,9,11,4,1
11,359,416917.5,3814639.5,2022,0,3,4,3,3,4,3,7,10,2,6,5,2,5,11,11,10,5
12,376,416968.5,3814636.5,2022,0,3,4,3,3,4,3,7,10,10,11,9,7,12,5,11,14,16
24,416,417088.5,3814600.5,2022,0,3,4,3,3,4,3,7,10,2,6,5,2,5,11,2,10,5
19,430,417130.5,3814615.5,2022,0,3,4,3,3,4,3,7,10,2,6,5,2,5,11,2,10,5
14,460,417220.5,3814630.5,2022,0,3,4,3,3,4,3,7,10,2,6,5,2,5,11,2,10,5
28,495,417325.5,3814588.5,2022,0,3,4,3,3,4,3,7,10,2,6,5,2,5,11,2,10,5
11,531,417433.5,3814639.5,2022,0,3,4,3,3,4,3,7,10,2,6,5,2,5,11,2,10,5
6,564,417532.5,3814654.5,2022,0,3,4,3,3,4,3,7,10,2,6,5,2,5,11,2,10,5
