year,k,seed,inertia,silhouette,n_iter,min_cluster_size,max_cluster_size,n_clusters_realized
2022,3,2067,54824.53695873739,0.2499453597785793,18,2239,3611,3
2022,4,2068,47277.79968061658,0.23097347231557788,33,1820,2734,4
2022,5,2069,42159.58242482369,0.22857922233696423,16,939,2551,5
2022,6,2070,38951.46935402233,0.21547188400169343,33,927,1877,6
2022,7,2071,36030.850690023566,0.22260907192103385,45,92,1864,7
2022,8,2072,33536.39749025633,0.22473895805130228,29,92,1992,8
2022,9,2073,31192.39836868793,0.22115706040228497,45,92,1670,9
2022,10,2074,29515.651717351666,0.21594589488006885,68,88,1469,10
2022,11,2075,27971.502666838234,0.22634947698394448,42,88,1534,11
2022,12,2076,26786.87516642813,0.20768206488340327,38,86,1225,12
2022,13,2077,25780.95904199274,0.20878500142411077,49,82,1051,13
2022,14,2078,24819.577387816367,0.2056530171621656,79,86,1051,14
2022,15,2079,24036.734093460287,0.20547501693605066,57,85,1093,15
2022,16,2080,23280.781345339812,0.20678542343216297,38,86,907,16
2022,17,2081,22651.186106563677,0.20670301778613545,64,85,898,17
2022,18,2082,22019.494051440946,0.19767685222428721,58,86,794,18
2022,19,2083,21393.93708400556,0.19877765770262856,59,85,807,19
2022,20,2084,20791.256355148234,0.20035807456521906,93,84,791,20
