,cluster_0,cluster_1,cluster_2,cluster_3,cluster_4,cluster_5,cluster_6,cluster_7,cluster_8,cluster_9
cluster_0,0.0,5.117137821120416,2.393224907580914,3.028236976355521,3.2734878332876294,5.92101195363452,2.007985345156773,3.8966740080897146,6.1379273129975225,2.6957537010206614
cluster_1,5.117137821120416,0.0,6.580175917334816,1.9271821613284748,5.043020172630486,2.9769107118106093,4.091266793682636,2.653311034370141,3.197510155154939,4.590519907154037
cluster_2,2.393224907580914,6.580175917334816,0.0,4.300218921022897,3.4398273861818964,6.620348246310333,2.987940137037088,6.170089757623207,6.8130144977764235,2.2543026242622526
cluster_3,3.028236976355521,1.9271821613284748,4.300218921022897,0.0,3.185141484769921,3.9066228611879317,2.821035217579083,2.0851567585668613,3.2836169672316653,3.330809776336022
cluster_4,3.2734878332876294,5.043020172630486,3.4398273861818964,3.185141484769921,0.0,5.912429840536994,3.4413548948466195,3.046250218389718,4.351449336404194,2.5344087522925123
cluster_5,5.92101195363452,2.9769107118106093,6.620348246310333,3.9066228611879317,5.912429840536994,0.0,4.719377786627572,5.412502870902625,2.809061690373456,4.680711994945334
cluster_6,2.007985345156773,4.091266793682636,2.987940137037088,2.821035217579083,3.4413548948466195,4.719377786627572,0.0,4.2195397398628565,5.448337767618132,2.4072990366800853
cluster_7,3.8966740080897146,2.653311034370141,6.170089757623207,2.0851567585668613,3.046250218389718,5.412502870902625,4.2195397398628565,0.0,3.1130603076207564,3.9286130682793483
cluster_8,6.1379273129975225,3.197510155154939,6.8130144977764235,3.2836169672316653,4.351449336404194,2.809061690373456,5.448337767618132,3.1130603076207564,0.0,3.9851396461762785
cluster_9,2.6957537010206614,4.590519907154037,2.2543026242622526,3.330809776336022,2.5344087522925123,4.680711994945334,2.4072990366800853,3.9286130682793483,3.9851396461762785,0.0
