,cluster_0,cluster_1,cluster_2,cluster_3,cluster_4,cluster_5,cluster_6,cluster_7,cluster_8,cluster_9
cluster_0,0.0,6.098718681078038,2.8014074768085546,3.1970919462110077,3.9737703315400856,7.588609962551348,2.901919982297519,2.4778780805587566,2.4246642108452283,2.460811945510426
cluster_1,6.098718681078038,0.0,5.592604081931558,7.0985808385824845,6.456649417867801,8.292308791167725,4.2757502690567,7.751389299628077,5.63597395121869,7.562696523744561
cluster_2,2.8014074768085546,5.592604081931558,0.0,2.5036981286400635,6.423412481918837,7.304562727295742,4.2964582289969915,5.154997317619227,3.0210640149585903,4.166703986059962
cluster_3,3.1970919462110077,7.0985808385824845,2.5036981286400635,0.0,6.7744896737966975,6.699014666509477,4.854692086823995,4.762449737357061,2.571473518405962,2.805253818162238
cluster_4,3.9737703315400856,6.456649417867801,6.423412481918837,6.7744896737966975,0.0,8.885383024145248,3.0489448359001283,3.2057907043366103,4.923090022082551,4.8141974481155625
cluster_5,7.588609962551348,8.292308791167725,7.304562727295742,6.699014666509477,8.885383024145248,0.0,6.76771626371119,8.527310247319145,5.6408898558087115,6.705382366147596
cluster_6,2.901919982297519,4.2757502690567,4.2964582289969915,4.854692086823995,3.0489448359001283,6.76771626371119,0.0,3.98976232253268,2.5776613966511404,3.935788013014071
cluster_7,2.4778780805587566,7.751389299628077,5.154997317619227,4.762449737357061,3.2057907043366103,8.527310247319145,3.98976232253268,0.0,4.012249703963819,2.5207808200693957
cluster_8,2.4246642108452283,5.63597395121869,3.0210640149585903,2.571473518405962,4.923090022082551,5.6408898558087115,2.5776613966511404,4.012249703963819,0.0,2.409331057569331
cluster_9,2.460811945510426,7.562696523744561,4.166703986059962,2.805253818162238,4.8141974481155625,6.705382366147596,3.935788013014071,2.5207808200693957,2.409331057569331,0.0
