row,col,x,y,year,OGI,50PCGI,OGMx,Peak,OGD,50PCGD,OGMn,NumCycles,QA
16,28,595315.5,3516667.5,2022,200.0,217.0,232.0,243.0,255.0,282.0,332.0,1.0,1.0
11,48,595375.5,3516682.5,2022,202.0,219.0,235.0,245.0,256.0,281.0,333.0,1.0,1.0
10,81,595474.5,3516685.5,2022,200.0,218.0,234.0,244.0,256.0,283.0,331.0,1.0,1.0
17,113,595570.5,3516664.5,2022,201.0,218.0,235.0,246.0,256.0,282.0,335.0,1.0,1.0
7,121,595594.5,3516694.5,2022,203.0,218.0,234.0,244.0,256.0,283.0,330.0,1.0,1.0
22,153,595690.5,3516649.5,2022,202.0,220.0,237.0,248.0,260.0,287.0,331.0,1.0,1.0
10,181,595774.5,3516685.5,2022,200.0,219.0,236.0,247.0,260.0,285.0,328.0,1.0,1.0
29,226,595909.5,3516628.5,2022,204.0,220.0,238.0,250.0,266.0,290.0,343.0,1.0,1.0
28,266,596029.5,3516631.5,2022,201.0,217.0,231.0,241.0,252.0,282.0,344.0,1.0,1.0
25,278,596065.5,3516640.5,2022,203.0,219.0,236.0,247.0,260.0,286.0,344.0,1.0,1.0
9,308,596155.5,3516688.5,2022,203.0,217.0,234.0,246.0,258.0,286.0,346.0,1.0,1.0
11,359,596308.5,3516682.5,2022,203.0,220.0,236.0,246.0,257.0,285.0,343.0,1.0,1.0
12,376,596359.5,3516679.5,2022,204.0,221.0,237.0,247.0,259.0,286.0,336.0,1.0,1.0
24,416,596479.5,3516643.5,2022,199.0,215.0,230.0,241.0,254.0,281.0,323.0,1.0,1.0
19,430,596521.5,3516658.5,2022,198.0,214.0,231.0,242.0,257.0,283.0,331.0,1.0,1.0
14,460,596611.5,3516673.5,2022,200.0,216.0,233.0,244.0,256.0,280.0,331.0,1.0,1.0
28,495,596716.5,3516631.5,2022,202.0,217.0,235.0,246.0,257.0,283.0,335.0,1.0,1.0
11,531,596824.5,3516682.5,2022,199.0,216.0,233.0,245.0,257.0,282.0,320.0,1.0,1.0
6,564,596923.5,3516697.5,2022,198.0,216.0,233.0,243.0,254.0,280.0,331.0,1.0,1.0
2,576,596959.5,3516709.5,2022,201.0,216.0,232.0,243.0,254.0,279.0,336.0,1.0,1.0
10,611,597064.5,3516685.5,2022,201.0,216.0,232.0,242.0,252.0,274.0,321.0,1.0,1.0
0,642,597157.5,3516715.5,2022,198.0,218.0,234.0,243.0,253.0,275.0,332.0,1.0,1.0
20,680,597271.5,3516655.5,2022,204.0,219.0,236.0,247.0,258.0,281.0,331.0,1.0,1.0
8,694,597313.5,3516691.5,2022,205.0,220.0,237.0,248.0,261.0,286.0,341.0,1.0,1.0
2,731,597424.5,3516709.5,2022,206.0,220.0,236.0,247.0,258.0,283.0,345.0,1.0,1.0
26,778,597565.5,3516637.5,2022,202.0,217.0,232.0,243.0,254.0,279.0,320.0,1.0,1.0
24,789,597598.5,3516643.5,2022,201.0,218.0,235.0,246.0,258.0,281.0,316.0,1.0,1.0
17,835,597736.5,3516664.5,2022,202.0,216.0,232.0,242.0,253.0,277.0,325.0,1.0,1.0
