,OGI,50PCGI,OGMx,Peak,OGD,50PCGD,OGMn,DurGU,DurGD,LOS
OGI,1.0,0.6654899710768113,0.29326842859654473,0.1495333100925011,0.034565772457143956,-0.20329191980920874,-0.13959805064505987,-0.831697304883855,-0.19101815626116891,-0.7991070793122517
50PCGI,0.6654899710768113,1.0,0.7422724503107101,0.5391539627702089,0.3610293202164797,-0.005430387816180635,-0.08362497494742192,-0.23574636377553884,-0.47870922775988756,-0.5261658981060852
OGMx,0.29326842859654473,0.7422724503107101,1.0,0.9361358259229063,0.8167562810081644,0.4560254675144666,0.27017576814225597,0.2869053988388067,-0.5761695397641393,-0.045464217144652826
Peak,0.1495333100925011,0.5391539627702089,0.9361358259229063,1.0,0.9396551357648653,0.6345111991994072,0.43445966592616275,0.3938403927319666,-0.5264654323007901,0.15695558832977147
OGD,0.034565772457143956,0.3610293202164797,0.8167562810081644,0.9396551357648653,1.0,0.7900698652569813,0.5770793800150097,0.439708355776012,-0.43370574207955087,0.32567214886440915
50PCGD,-0.20329191980920874,-0.005430387816180635,0.4560254675144666,0.6345111991994072,0.7900698652569813,1.0,0.7912456351562094,0.46854591441021154,0.02729364095401463,0.6256138978060007
OGMn,-0.13959805064505987,-0.08362497494742192,0.27017576814225597,0.43445966592616275,0.5770793800150097,0.7912456351562094,1.0,0.29678845130446735,0.4855978649785115,0.7068558216275356
DurGU,-0.831697304883855,-0.23574636377553884,0.2869053988388067,0.3938403927319666,0.439708355776012,0.46854591441021154,0.29678845130446735,1.0,-0.143215853687267,0.7743152201086613
DurGD,-0.19101815626116891,-0.47870922775988756,-0.5761695397641393,-0.5264654323007901,-0.43370574207955087,0.02729364095401463,0.4855978649785115,-0.143215853687267,1.0,0.4312770687740126
LOS,-0.7991070793122517,-0.5261658981060852,-0.045464217144652826,0.15695558832977147,0.32567214886440915,0.6256138978060007,0.7068558216275356,0.7743152201086613,0.4312770687740126,1.0
