year,k,seed,inertia,silhouette,n_iter,min_cluster_size,max_cluster_size,n_clusters_realized
2022,3,2067,70797.80562653413,0.27133706792125195,25,3180,4935,3
2022,4,2068,55601.12923220878,0.28858689591264924,24,254,4752,4
2022,5,2069,48379.234521786086,0.26964507479201205,20,255,4465,5
2022,6,2070,43684.927123987996,0.22979421603013347,37,254,3576,6
2022,7,2071,39571.14637060803,0.241238215753233,19,253,2900,7
2022,8,2072,36816.981261007604,0.22308753901068998,32,253,2538,8
2022,9,2073,34872.56014321812,0.21306276120468012,44,253,2194,9
2022,10,2074,33119.829316134135,0.21134815805542717,75,249,2112,10
2022,11,2075,31507.655175986823,0.21152540509993117,28,250,1872,11
2022,12,2076,30288.378558523313,0.20989316023598917,38,250,1859,12
2022,13,2077,29205.230884331162,0.20673902973505623,41,114,1873,13
2022,14,2078,28043.20808150908,0.20487805329677747,38,127,1546,14
2022,15,2079,27020.495882368763,0.20186965855607028,55,114,1539,15
2022,16,2080,26064.961098603915,0.20061124165351094,87,114,1602,16
2022,17,2081,25267.451706326494,0.20000503995124946,138,115,1416,17
2022,18,2082,24595.18868100835,0.1967885011779566,79,122,1373,18
2022,19,2083,23952.332709602935,0.19900311241919985,44,114,1222,19
2022,20,2084,23383.044287044093,0.19730491182547244,60,122,1125,20
