row,col,x,y,year,gmm_full_k3,gmm_full_k4,gmm_full_k5,gmm_full_k6,gmm_full_k7,gmm_full_k8,gmm_full_k9,gmm_full_k10,gmm_full_k11,gmm_full_k12,gmm_full_k13,gmm_full_k14,gmm_full_k15,gmm_full_k16,gmm_full_k17,gmm_full_k18,gmm_full_k19,gmm_full_k20,gmm_diag_k3,gmm_diag_k4,gmm_diag_k5,gmm_diag_k6,gmm_diag_k7,gmm_diag_k8,gmm_diag_k9,gmm_diag_k10,gmm_diag_k11,gmm_diag_k12,gmm_diag_k13,gmm_diag_k14,gmm_diag_k15,gmm_diag_k16,gmm_diag_k17,gmm_diag_k18,gmm_diag_k19,gmm_diag_k20
8,12,595267.5,3516691.5,2023,2,1,2,5,2,7,1,5,3,8,8,5,7,15,9,4,7,16,1,1,0,3,6,5,4,0,9,10,2,9,12,3,12,12,12,17
23,59,595408.5,3516646.5,2023,2,1,3,5,2,7,1,7,3,8,8,1,8,15,5,7,7,16,2,3,2,1,4,0,5,4,9,7,2,10,3,10,2,2,8,11
8,69,595438.5,3516691.5,2023,2,1,2,5,2,7,1,7,3,8,8,5,7,15,9,4,7,16,2,3,2,1,4,0,5,4,9,7,2,10,3,10,2,2,7,11
1,94,595513.5,3516712.5,2023,2,0,2,5,2,7,1,5,3,8,8,5,7,15,9,4,7,16,2,1,0,1,4,0,5,4,9,10,2,9,12,3,12,2,7,17
0,146,595669.5,3516715.5,2023,2,1,2,5,2,7,1,5,3,8,8,5,7,15,9,4,7,16,2,3,2,1,4,0,5,4,9,7,2,10,3,10,2,2,7,11
12,164,595723.5,3516679.5,2023,2,1,3,5,2,7,1,7,3,8,8,1,8,15,9,4,7,16,2,3,2,1,4,0,5,4,9,7,2,10,3,10,2,2,8,11
3,207,595852.5,3516706.5,2023,2,1,3,5,2,7,1,7,3,8,8,1,7,15,9,4,7,16,2,3,2,1,4,0,5,4,9,7,2,10,3,10,2,2,7,11
22,223,595900.5,3516649.5,2023,2,1,3,5,2,7,1,7,3,8,8,1,7,15,9,4,7,16,2,3,2,1,4,0,5,4,9,7,2,10,3,10,2,2,8,11
4,255,595996.5,3516703.5,2023,2,1,3,1,2,7,1,7,3,3,10,1,8,15,5,7,7,16,2,3,2,1,4,0,5,4,9,7,2,10,3,10,2,2,8,11
15,286,596089.5,3516670.5,2023,2,1,3,1,2,7,1,7,3,3,10,1,8,1,5,7,7,10,2,3,2,1,4,0,5,4,9,7,2,10,3,10,2,2,8,11
15,307,596152.5,3516670.5,2023,2,1,3,5,2,7,1,7,3,8,8,1,8,15,9,4,7,16,2,3,2,1,4,0,5,4,9,7,2,10,3,10,2,2,8,11
8,340,596251.5,3516691.5,2023,2,1,3,5,2,7,1,7,3,8,10,1,8,15,5,7,7,16,2,3,2,1,4,0,5,4,9,7,2,10,3,10,2,2,8,11
17,382,596377.5,3516664.5,2023,0,0,2,5,2,6,8,1,0,10,7,7,1,15,9,4,8,16,2,1,0,1,4,0,5,4,9,10,2,6,12,3,12,2,7,17
12,405,596446.5,3516679.5,2023,0,0,2,4,4,4,6,5,4,7,3,0,7,4,0,4,0,16,1,1,4,5,6,6,7,7,8,10,7,6,12,3,4,8,16,17
6,439,596548.5,3516697.5,2023,0,0,0,4,4,4,6,3,4,7,3,0,14,4,0,8,0,12,1,1,4,1,6,6,7,7,8,10,7,6,12,3,4,8,16,17
7,458,596605.5,3516694.5,2023,0,0,2,5,2,4,6,5,4,8,3,5,7,15,9,5,16,16,1,0,4,5,6,7,8,8,5,6,0,11,12,13,10,13,16,18
12,493,596710.5,3516679.5,2023,0,0,2,5,2,7,6,5,4,8,8,5,7,15,9,4,7,16,2,1,3,1,4,0,5,4,9,10,2,6,12,3,12,2,7,17
16,521,596794.5,3516667.5,2023,2,1,3,5,2,7,1,7,3,8,8,5,7,15,9,4,7,16,2,3,2,1,4,0,5,4,9,7,2,10,3,10,2,2,8,11
24,557,596902.5,3516643.5,2023,0,0,2,4,4,4,6,5,4,7,3,0,7,10,0,4,16,0,2,3,3,1,4,0,5,4,9,10,2,6,12,3,4,8,7,11
13,577,596962.5,3516676.5,2023,2,1,3,1,5,7,1,7,3,3,10,1,8,1,5,7,14,10,2,3,2,2,3,0,5,4,9,7,6,10,14,5,2,16,8,11
3,605,597046.5,3516706.5,2023,2,1,3,5,2,7,1,7,3,3,10,1,8,15,5,7,7,16,2,3,2,1,3,0,5,4,9,7,2,10,14,10,2,2,8,11
2,640,597151.5,3516709.5,2023,2,1,3,1,2,7,1,7,3,3,10,1,8,1,5,7,7,10,2,3,2,1,4,0,5,4,9,7,6,10,14,10,2,2,8,11
24,689,597298.5,3516643.5,2023,0,0,2,5,2,7,6,5,4,8,8,5,7,15,9,4,16,16,2,3,2,1,4,0,5,4,9,7,2,6,3,10,2,2,7,11
21,713,597370.5,3516652.5,2023,2,1,3,5,2,7,1,7,3,8,8,1,7,15,9,4,7,16,2,3,2,1,4,0,5,4,9,7,2,10,3,10,2,2,8,11
29,748,597475.5,3516628.5,2023,2,1,3,1,2,7,1,7,3,3,10,1,8,1,5,7,7,10,2,3,2,2,3,3,5,4,9,7,6,10,14,5,2,16,8,5
10,776,597559.5,3516685.5,2023,2,1,3,5,2,7,1,7,3,8,8,1,8,15,5,4,7,16,2,3,2,2,3,0,5,4,9,7,6,10,14,5,2,16,8,11
17,780,597571.5,3516664.5,2023,0,1,2,5,2,7,1,5,3,8,8,5,7,15,9,4,7,16,2,3,2,1,4,0,5,4,9,7,2,10,3,10,2,2,8,11
2,813,597670.5,3516709.5,2023,0,0,2,5,2,7,6,5,3,8,8,5,7,15,9,4,16,16,2,3,2,1,4,0,5,4,9,7,2,10,3,10,2,2,8,11
6,843,597760.5,3516697.5,2023,0,0,2,5,2,7,6,5,3,8,8,5,7,15,9,4,7,16,2,3,2,1,4,0,5,4,9,7,2,10,3,10,2,2,8,11
0,884,597883.5,3516715.5,2023,2,1,3,5,2,7,1,7,3,3,10,1,8,1,5,7,14,10,2,3,2,2,3,3,2,2,1,7,6,10,14,5,2,16,8,5
18,905,597946.5,3516661.5,2023,0,0,2,5,2,7,1,5,3,8,8,5,7,10,9,4,7,10,2,3,2,1,4,0,5,4,9,7,2,10,3,10,2,2,8,11
4,949,598078.5,3516703.5,2023,2,1,3,1,2,7,1,7,3,3,10,1,8,1,5,7,14,10,2,3,2,2,3,3,5,4,9,7,6,10,14,5,2,16,8,5
23,977,598162.5,3516646.5,2023,0,0,2,5,2,7,6,5,4,8,8,12,7,10,9,4,17,0,2,3,2,1,4,0,5,4,9,7,2,10,3,10,2,2,8,11
20,990,598201.5,3516655.5,2023,2,1,2,5,2,7,1,7,3,8,8,1,8,1,9,4,7,10,2,3,2,1,4,0,5,4,9,7,2,10,3,10,2,2,8,11
22,1049,598378.5,3516649.5,2023,0,0,2,5,4,4,6,5,4,7,3,5,7,10,0,4,16,0,2,3,3,1,4,0,5,4,9,7,2,6,3,3,4,2,7,11
27,1059,598408.5,3516634.5,2023,0,0,2,4,4,4,6,3,4,7,3,0,14,4,0,8,0,12,1,0,4,5,6,6,7,7,8,4,7,11,9,14,4,8,16,4
18,1103,598540.5,3516661.5,2023,0,0,2,4,4,4,6,3,4,7,3,0,14,4,0,8,0,12,1,0,4,5,6,7,8,8,3,0,9,11,9,0,5,0,2,4
22,1120,598591.5,3516649.5,2023,0,0,2,4,4,4,6,3,4,7,3,0,14,4,0,8,10,12,0,0,4,5,6,6,7,7,8,4,7,11,9,14,5,0,17,4
24,1164,598723.5,3516643.5,2023,0,0,2,4,4,4,6,3,4,7,3,0,14,4,0,8,0,12,0,2,3,1,0,6,7,7,6,4,7,6,9,6,4,7,0,14
11,1195,598816.5,3516682.5,2023,0,0,2,4,4,4,6,5,4,7,3,0,14,4,0,8,0,12,1,0,4,5,6,6,7,7,8,10,7,11,9,14,4,8,16,4
27,1220,598891.5,3516634.5,2023,0,0,2,4,4,4,6,3,4,7,3,0,14,4,0,8,0,12,1,0,4,5,6,6,7,7,8,4,7,11,9,14,4,8,16,4
4,1258,599005.5,3516703.5,2023,0,0,2,4,4,4,6,3,4,7,3,0,14,4,0,8,0,12,1,0,4,5,6,6,7,7,8,4,7,11,9,14,4,8,16,4
4,1271,599044.5,3516703.5,2023,0,0,2,4,4,4,6,3,4,7,3,0,14,4,0,8,0,12,1,0,4,5,6,6,7,7,8,4,7,11,9,14,4,8,16,4
4,1291,599104.5,3516703.5,2023,0,0,2,4,4,4,6,3,4,7,3,0,14,4,0,8,0,12,1,0,4,5,6,6,7,7,8,10,7,11,9,14,4,8,16,4
23,1347,599272.5,3516646.5,2023,1,2,0,4,6,0,2,3,7,11,1,3,9,12,3,9,11,13,1,0,4,5,6,7,0,8,3,0,9,12,5,0,5,0,2,10
15,1369,599338.5,3516670.5,2023,1,2,0,4,6,0,2,3,7,11,1,3,9,12,3,9,11,13,1,0,4,5,1,4,0,5,3,0,9,12,5,0,5,0,2,10
27,1402,599437.5,3516634.5,2023,0,0,2,4,4,4,6,3,4,7,3,0,14,4,0,8,0,12,1,0,4,5,6,7,7,7,8,10,7,11,12,13,4,8,16,4
0,1422,599497.5,3516715.5,2023,1,0,0,4,4,0,2,3,7,11,1,3,9,12,3,9,0,13,1,0,4,5,6,7,8,8,3,0,9,12,5,0,5,0,2,10
14,1466,599629.5,3516673.5,2023,1,2,0,4,6,0,2,3,7,11,1,3,9,12,3,9,11,13,1,1,4,5,6,7,8,8,5,6,0,0,2,13,10,11,15,9
25,1481,599674.5,3516640.5,2023,1,2,0,4,6,0,2,3,7,11,1,3,9,12,3,9,11,13,1,0,4,5,6,7,8,8,3,0,9,12,5,0,5,0,2,10
20,1512,599767.5,3516655.5,2023,1,2,0,4,6,0,2,9,7,11,1,3,9,12,3,9,11,13,1,0,4,5,1,4,0,5,3,0,9,12,5,0,1,0,2,10
28,1550,599881.5,3516631.5,2023,1,2,1,0,6,0,5,4,5,11,1,3,9,3,16,9,11,13,1,0,4,5,1,4,0,5,3,0,9,12,5,0,5,0,2,10
18,1562,599917.5,3516661.5,2023,1,2,0,4,6,0,2,9,7,11,1,3,9,12,3,9,11,13,1,0,4,5,1,4,0,5,3,0,9,12,5,0,5,0,2,10
26,1618,600085.5,3516637.5,2023,1,0,0,4,6,0,2,3,7,11,1,3,9,12,3,9,11,13,1,0,4,5,6,7,8,8,5,6,0,0,2,0,5,0,15,9
6,1632,600127.5,3516697.5,2023,1,2,1,0,0,5,5,4,5,6,12,11,10,3,16,3,3,3,0,0,1,4,1,4,0,5,0,8,4,13,1,15,0,10,4,16
7,1656,600199.5,3516694.5,2023,1,2,0,0,6,0,2,9,5,11,1,3,9,12,3,9,11,13,1,0,4,5,1,4,0,5,3,0,9,12,5,0,5,0,2,10
26,1709,600358.5,3516637.5,2023,1,0,0,4,6,0,2,3,7,11,1,3,9,12,3,9,11,13,1,0,4,5,6,7,8,8,3,0,9,12,5,0,5,0,2,10
18,1731,600424.5,3516661.5,2023,1,2,0,4,6,0,2,3,7,11,1,3,9,12,3,9,11,13,1,0,4,5,1,4,0,5,3,0,9,12,5,0,5,0,2,10
4,1762,600517.5,3516703.5,2023,1,2,1,0,6,0,5,4,5,6,1,11,10,3,16,9,11,13,0,0,4,5,1,4,0,5,8,4,7,11,9,14,5,14,17,4
14,1770,600541.5,3516673.5,2023,1,2,1,0,6,0,5,9,5,6,1,3,9,3,16,9,11,13,1,0,4,5,1,4,0,5,3,0,9,12,5,0,1,0,2,10
18,1811,600664.5,3516661.5,2023,1,2,0,0,6,0,2,9,7,11,1,3,9,12,3,9,11,13,1,0,4,5,6,7,8,8,3,0,9,12,5,0,5,0,2,10
16,1833,600730.5,3516667.5,2023,1,2,1,0,6,0,5,4,5,6,12,11,10,3,16,3,3,3,0,0,4,5,1,4,0,5,0,8,4,13,9,14,0,14,17,16
8,1869,600838.5,3516691.5,2023,0,0,4,3,4,6,8,1,10,2,5,9,12,9,13,17,5,14,1,1,0,3,5,5,4,9,7,3,3,0,8,8,14,9,13,15
18,1898,600925.5,3516661.5,2023,1,0,0,4,6,0,2,3,7,11,1,3,9,12,3,9,11,13,1,0,4,5,6,7,8,8,3,0,9,12,5,0,5,0,2,18
11,1925,601006.5,3516682.5,2023,1,2,0,4,6,0,2,3,7,11,1,0,9,12,3,9,0,13,0,0,4,5,1,4,0,5,3,0,9,11,9,14,9,14,17,1
20,1951,601084.5,3516655.5,2023,1,0,0,4,4,6,2,3,7,11,1,0,9,12,3,9,0,13,1,0,4,5,6,7,8,8,5,6,0,0,2,13,5,11,15,9
13,1995,601216.5,3516676.5,2023,1,2,1,0,6,0,2,4,7,11,1,3,9,12,3,9,11,13,0,0,4,4,1,4,0,5,3,0,9,12,5,15,1,10,4,10
20,2026,601309.5,3516655.5,2023,1,2,1,0,6,0,2,3,7,11,1,3,9,12,3,9,11,13,1,0,4,5,1,4,0,5,3,0,9,12,5,15,1,10,2,10
8,2064,601423.5,3516691.5,2023,1,2,1,0,6,0,5,4,5,6,1,11,10,3,16,9,3,13,0,0,4,4,1,4,0,5,3,0,9,12,5,15,1,10,4,16
1,2081,601474.5,3516712.5,2023,1,2,1,0,0,5,5,4,5,6,12,11,10,3,16,3,3,3,0,0,4,4,1,4,0,5,0,0,9,13,1,15,1,10,4,16
22,2117,601582.5,3516649.5,2023,1,2,1,0,6,0,5,4,5,11,1,3,9,12,3,9,11,13,0,0,4,5,1,4,0,5,3,0,9,12,5,15,1,10,2,10
13,2147,601672.5,3516676.5,2023,1,2,1,0,6,0,5,4,7,11,1,3,9,12,3,9,11,13,0,2,1,4,1,2,3,6,10,8,4,13,11,1,0,14,4,19
4,2184,601783.5,3516703.5,2023,1,2,0,4,6,0,2,3,7,11,1,3,9,12,3,9,11,13,0,0,4,5,1,4,0,5,10,9,12,5,4,11,16,14,9,1
15,2218,601885.5,3516670.5,2023,1,2,0,2,6,0,2,3,7,11,1,3,9,12,3,9,11,13,0,0,4,5,0,6,1,3,10,4,12,5,9,14,9,14,17,1
27,2232,601927.5,3516634.5,2023,1,0,0,2,1,4,6,3,4,7,3,0,14,10,0,5,0,0,0,2,3,0,0,6,7,7,6,4,5,1,9,6,7,7,0,14
