row,col,x,y,year,kmeans_k3,kmeans_k4,kmeans_k5,kmeans_k6,kmeans_k7,kmeans_k8,kmeans_k9,kmeans_k10,kmeans_k11,kmeans_k12,kmeans_k13,kmeans_k14,kmeans_k15,kmeans_k16,kmeans_k17,kmeans_k18,kmeans_k19,kmeans_k20
8,12,595267.5,3516691.5,2023,0,0,4,2,4,4,3,4,4,7,8,6,12,12,16,8,6,12
23,59,595408.5,3516646.5,2023,0,0,0,1,6,3,0,9,4,5,5,3,1,9,14,9,5,18
8,69,595438.5,3516691.5,2023,0,0,0,1,6,1,4,4,4,5,5,3,1,9,14,9,5,18
1,94,595513.5,3516712.5,2023,0,0,0,2,4,4,3,4,7,9,4,6,12,3,16,9,6,18
0,146,595669.5,3516715.5,2023,0,0,0,1,6,1,4,4,4,5,5,3,1,9,14,9,5,18
12,164,595723.5,3516679.5,2023,0,0,0,1,6,3,0,9,8,5,5,3,1,9,14,9,5,18
3,207,595852.5,3516706.5,2023,0,0,0,1,6,1,4,4,4,5,5,3,1,9,14,9,5,18
22,223,595900.5,3516649.5,2023,0,0,0,1,6,3,0,9,4,5,5,3,1,9,14,9,5,18
4,255,595996.5,3516703.5,2023,0,0,0,1,6,3,0,4,4,5,5,3,1,9,14,9,5,18
15,286,596089.5,3516670.5,2023,0,0,0,1,6,3,0,9,8,5,5,3,1,9,14,9,5,18
15,307,596152.5,3516670.5,2023,0,0,0,1,6,3,0,9,8,5,5,3,1,9,14,9,5,18
8,340,596251.5,3516691.5,2023,0,0,0,1,6,3,0,9,8,5,5,3,1,9,14,9,5,18
17,382,596377.5,3516664.5,2023,0,0,0,2,4,1,4,4,4,9,8,6,11,12,14,9,5,18
12,405,596446.5,3516679.5,2023,0,0,4,2,4,1,4,4,4,9,8,6,11,12,6,14,17,15
6,439,596548.5,3516697.5,2023,0,0,0,2,4,1,4,4,4,9,8,6,11,12,6,14,17,15
7,458,596605.5,3516694.5,2023,0,0,4,2,4,4,3,6,2,9,1,6,12,12,16,8,6,12
12,493,596710.5,3516679.5,2023,0,0,0,1,4,1,4,4,4,9,8,6,12,12,16,9,6,18
16,521,596794.5,3516667.5,2023,0,0,0,1,6,3,0,4,4,5,5,3,1,9,14,9,5,18
24,557,596902.5,3516643.5,2023,0,0,0,1,6,1,4,4,4,9,8,6,11,9,14,14,17,15
13,577,596962.5,3516676.5,2023,0,0,0,1,6,3,0,9,8,5,5,3,1,9,14,9,5,18
3,605,597046.5,3516706.5,2023,0,0,0,1,6,3,0,9,8,5,5,3,1,9,14,9,5,18
2,640,597151.5,3516709.5,2023,0,0,0,1,6,3,0,9,8,5,5,3,1,9,14,9,5,18
24,689,597298.5,3516643.5,2023,0,0,0,1,6,1,4,4,4,5,5,3,1,9,14,9,5,18
21,713,597370.5,3516652.5,2023,0,0,0,1,6,3,0,9,8,5,5,3,1,9,14,9,5,18
29,748,597475.5,3516628.5,2023,0,0,0,1,6,3,0,9,8,5,5,3,1,9,14,9,5,18
10,776,597559.5,3516685.5,2023,0,0,0,1,6,3,0,9,8,5,5,3,1,9,14,9,5,18
17,780,597571.5,3516664.5,2023,0,0,0,1,6,3,0,9,8,5,5,3,1,9,14,9,5,18
2,813,597670.5,3516709.5,2023,0,0,0,1,6,3,0,9,4,5,5,3,1,9,14,9,5,18
6,843,597760.5,3516697.5,2023,0,0,0,1,6,1,4,4,4,5,5,3,1,9,14,9,5,18
0,884,597883.5,3516715.5,2023,2,2,0,1,6,3,0,9,8,2,6,12,8,7,2,10,10,8
18,905,597946.5,3516661.5,2023,0,0,0,1,6,3,0,9,8,5,5,3,1,9,14,9,5,13
4,949,598078.5,3516703.5,2023,2,2,0,1,6,3,0,9,8,2,5,12,8,7,2,10,10,8
23,977,598162.5,3516646.5,2023,0,0,0,1,6,3,0,9,8,5,5,3,1,9,14,2,12,13
20,990,598201.5,3516655.5,2023,0,0,0,1,6,3,0,9,8,5,5,3,1,9,2,10,10,8
22,1049,598378.5,3516649.5,2023,0,0,0,1,6,1,4,4,4,5,5,3,1,9,14,2,12,13
27,1059,598408.5,3516634.5,2023,0,0,0,2,4,1,4,4,4,9,8,6,11,12,6,14,17,15
18,1103,598540.5,3516661.5,2023,0,0,4,2,4,1,4,7,6,1,11,0,5,5,6,14,17,3
22,1120,598591.5,3516649.5,2023,0,0,4,4,4,1,4,4,6,9,8,6,5,12,6,14,6,12
24,1164,598723.5,3516643.5,2023,1,0,0,1,2,1,4,4,4,9,8,6,12,12,16,8,6,12
11,1195,598816.5,3516682.5,2023,0,0,4,2,4,1,4,4,4,9,8,6,11,12,6,14,17,15
27,1220,598891.5,3516634.5,2023,0,0,0,2,4,1,4,4,4,9,8,6,11,12,6,14,17,15
4,1258,599005.5,3516703.5,2023,0,0,4,2,4,1,4,4,4,9,8,6,11,12,6,14,17,15
4,1271,599044.5,3516703.5,2023,0,0,4,2,4,1,4,4,4,9,8,6,11,12,6,14,17,15
4,1291,599104.5,3516703.5,2023,0,0,0,2,4,1,4,4,4,9,8,6,11,12,6,14,17,15
23,1347,599272.5,3516646.5,2023,0,0,4,4,0,7,6,7,6,1,11,0,5,5,3,1,4,3
15,1369,599338.5,3516670.5,2023,1,0,4,4,0,7,6,7,6,1,11,0,5,5,3,1,4,3
27,1402,599437.5,3516634.5,2023,0,0,4,2,4,1,4,4,4,9,8,6,11,12,6,14,17,15
0,1422,599497.5,3516715.5,2023,0,0,4,2,4,4,6,7,6,1,11,0,5,5,3,1,4,3
14,1466,599629.5,3516673.5,2023,0,0,4,2,4,4,3,6,6,1,11,0,5,15,7,16,11,3
25,1481,599674.5,3516640.5,2023,0,0,4,4,0,7,6,7,6,1,11,0,5,5,3,1,4,3
20,1512,599767.5,3516655.5,2023,1,0,4,4,0,7,6,7,6,1,11,0,5,5,3,1,4,4
28,1550,599881.5,3516631.5,2023,1,0,4,4,0,7,6,7,6,1,11,0,5,5,3,1,4,3
18,1562,599917.5,3516661.5,2023,1,0,4,4,0,7,6,7,6,1,11,0,5,5,3,1,4,3
26,1618,600085.5,3516637.5,2023,0,0,4,2,0,4,6,6,6,1,11,0,5,5,3,16,4,3
6,1632,600127.5,3516697.5,2023,1,1,1,4,0,7,1,7,5,8,10,13,6,14,1,6,16,4
7,1656,600199.5,3516694.5,2023,1,0,4,4,0,7,6,7,6,1,11,0,5,5,3,1,4,3
26,1709,600358.5,3516637.5,2023,0,0,4,4,0,7,6,7,6,1,11,0,5,5,3,1,4,3
18,1731,600424.5,3516661.5,2023,1,0,4,4,0,7,6,7,6,1,11,0,5,5,3,1,4,3
4,1762,600517.5,3516703.5,2023,0,0,4,4,0,7,1,7,6,1,11,0,5,5,3,1,4,3
14,1770,600541.5,3516673.5,2023,1,1,4,4,0,7,6,7,6,1,11,0,5,5,3,1,4,4
18,1811,600664.5,3516661.5,2023,0,0,4,2,0,7,6,7,6,1,11,0,5,5,3,1,4,3
16,1833,600730.5,3516667.5,2023,1,0,4,4,0,7,1,7,6,1,11,0,5,5,3,1,4,3
8,1869,600838.5,3516691.5,2023,0,0,4,2,0,4,6,1,7,11,4,8,10,13,0,12,13,9
18,1898,600925.5,3516661.5,2023,0,0,4,2,0,4,6,7,6,1,11,0,5,13,3,1,13,3
11,1925,601006.5,3516682.5,2023,1,0,4,4,0,7,6,7,6,1,11,0,5,5,3,1,4,3
20,1951,601084.5,3516655.5,2023,0,0,4,2,4,4,3,6,6,1,1,0,5,15,7,16,11,3
13,1995,601216.5,3516676.5,2023,1,1,1,4,0,7,6,7,5,1,11,13,6,14,3,1,4,4
20,2026,601309.5,3516655.5,2023,1,1,4,4,0,7,6,7,5,1,11,13,5,5,3,1,4,4
8,2064,601423.5,3516691.5,2023,1,1,1,4,0,7,6,7,5,8,10,13,6,14,1,1,16,4
1,2081,601474.5,3516712.5,2023,1,1,1,4,0,7,6,7,5,8,10,13,6,14,1,6,16,4
22,2117,601582.5,3516649.5,2023,1,1,1,4,0,7,6,7,5,8,10,13,6,14,1,1,16,4
13,2147,601672.5,3516676.5,2023,1,1,1,0,1,0,8,0,5,8,10,13,6,14,1,6,16,16
4,2184,601783.5,3516703.5,2023,1,1,1,4,0,7,6,7,5,8,10,13,6,14,1,6,16,11
15,2218,601885.5,3516670.5,2023,1,1,1,4,2,7,1,8,9,3,0,10,0,10,11,13,8,17
27,2232,601927.5,3516634.5,2023,1,0,0,1,2,1,4,4,9,9,8,10,0,10,16,8,6,12
20,2252,601987.5,3516655.5,2023,1,1,1,4,0,7,6,7,5,8,4,8,6,2,16,8,0,11
25,2296,602119.5,3516640.5,2023,1,0,4,4,0,7,6,7,6,1,11,0,5,5,3,1,4,3
20,2324,602203.5,3516655.5,2023,1,0,4,4,0,7,6,7,6,1,11,0,5,5,3,1,4,3
15,2346,602269.5,3516670.5,2023,0,0,4,4,0,1,4,7,6,1,11,0,5,5,3,1,4,3
14,2384,602383.5,3516673.5,2023,1,0,4,4,2,1,4,4,6,9,8,10,0,10,11,13,8,17
21,2418,602485.5,3516652.5,2023,1,0,4,4,0,7,1,7,6,1,11,0,5,5,3,1,4,3
10,2450,602581.5,3516685.5,2023,0,0,4,4,0,7,6,7,6,1,11,0,5,5,3,1,4,3
22,2464,602623.5,3516649.5,2023,0,0,4,2,4,1,4,4,4,9,8,6,12,12,16,8,6,12
6,2503,602740.5,3516697.5,2023,0,0,4,4,0,7,6,7,6,1,11,0,5,5,3,1,4,3
8,2536,602839.5,3516691.5,2023,1,1,1,4,0,7,6,7,6,1,11,13,6,5,3,1,4,4
6,2550,602881.5,3516697.5,2023,1,1,1,4,0,7,1,7,6,1,11,13,6,14,1,1,4,4
29,2591,603004.5,3516628.5,2023,1,1,1,4,0,7,6,7,5,8,10,13,6,14,1,6,16,4
16,2634,603133.5,3516667.5,2023,0,0,4,2,4,1,4,4,6,9,8,6,11,12,6,14,17,15
10,2641,603154.5,3516685.5,2023,0,0,4,2,4,1,4,7,6,1,11,0,5,5,3,8,4,3
13,2675,603256.5,3516676.5,2023,1,1,1,4,0,7,1,7,9,3,0,10,0,10,11,13,8,17
8,2727,603412.5,3516691.5,2023,1,0,4,4,2,1,1,8,9,3,0,10,0,10,11,13,8,17
17,2734,603433.5,3516664.5,2023,1,1,1,4,2,6,1,8,9,3,0,10,0,10,11,13,8,17
23,2768,603535.5,3516646.5,2023,1,0,0,1,2,6,1,8,9,3,0,10,0,10,11,13,8,17
4,2817,603682.5,3516703.5,2023,0,0,4,2,4,1,4,4,4,9,8,6,12,12,16,8,6,12
12,2833,603730.5,3516679.5,2023,0,0,4,2,4,4,3,6,6,9,8,6,12,12,16,8,6,12
