row,col,x,y,year,kmeans_label,gmm_label,gmm_posterior_0,gmm_posterior_1,gmm_posterior_2,gmm_posterior_3,gmm_posterior_4,gmm_posterior_5,gmm_posterior_6,gmm_posterior_7,gmm_posterior_8,gmm_posterior_9
16,28,595315.5,3516667.5,2022,9,6,6.644068319917664e-16,3.34848577943694e-07,6.273849107258947e-05,2.981364698470687e-09,1.448500547821827e-06,4.719926181910159e-13,0.9998334613578858,0.00010201134908292645,2.4313393768157e-09,3.965579800431605e-11
11,48,595375.5,3516682.5,2022,9,6,6.283990968482997e-11,8.755505732929929e-07,4.637524086774608e-06,2.0594866812665011e-07,1.8191248656229008e-06,7.259324343133005e-12,0.9999645825931198,2.78791728128997e-05,1.2250905655570216e-11,3.5235878035635998e-12
10,81,595474.5,3516685.5,2022,9,6,1.1021205971470728e-13,4.009696457816491e-06,2.380476888596863e-05,5.130204255236971e-10,3.831565793074595e-07,5.5144846036006304e-14,0.9999134432088294,5.835812445558639e-05,3.5756679288691654e-10,1.7404009074539082e-10
17,113,595570.5,3516664.5,2022,9,6,1.0042548073668397e-11,1.510315973571254e-06,7.990916632232151e-05,7.2666865595724e-07,6.26126154738873e-05,5.969830991297413e-12,0.9994838848533713,0.0003713463918680964,9.878739035649279e-09,9.358419034903924e-11
7,121,595594.5,3516694.5,2022,9,6,1.9689927818640682e-16,2.3073553527151124e-07,2.5899749235077165e-05,4.298141580458202e-12,4.4949842109045255e-10,8.710609936137807e-18,0.9999642944934135,9.573618071853444e-06,9.297856493337816e-10,2.0162406746029862e-11
22,153,595690.5,3516649.5,2022,9,6,1.3874200213400715e-15,3.931164479824625e-09,1.530501375793243e-05,8.20707602562534e-11,2.916658720840925e-09,3.4088032655930486e-18,0.9999833014753722,1.3865426211174258e-06,3.8234640516048067e-11,1.1812067386338292e-13
10,181,595774.5,3516685.5,2022,9,6,9.516687273797517e-14,5.721411986935581e-10,0.0001409055120590426,3.069148993778705e-09,4.1160755351824535e-09,1.304289419854887e-13,0.999856827348157,2.2577328576295704e-06,1.6478469030974215e-09,1.4885591427038336e-12
29,226,595909.5,3516628.5,2022,9,2,2.2711046685731655e-35,2.902934781272267e-28,0.9825822080099913,7.796904996324026e-21,2.786310292044884e-21,5.710399877495578e-23,0.017385509377816757,9.583334329714038e-11,3.228251635853129e-05,3.231410870202764e-27
28,266,596029.5,3516631.5,2022,9,6,1.4347963652744313e-19,9.068276822316894e-05,0.00046180559430220275,1.0083274245095398e-12,1.1212373150173094e-05,1.358503392632893e-14,0.9569687177162446,0.04246758014968544,1.3973191144144624e-09,5.3859677884809563e-14
25,278,596065.5,3516640.5,2022,9,6,3.880858292525331e-21,1.2795682918243245e-14,9.049352789900626e-05,6.9393702597437424e-12,1.1546732684821365e-10,9.78585901134301e-18,0.9999082799347928,1.221026364517975e-06,5.388523864016781e-09,3.0296971685121668e-21
9,308,596155.5,3516688.5,2022,9,6,7.958709977434808e-25,2.616572690682588e-13,0.0005412091582235573,9.004034872143464e-12,2.0676201380812662e-09,1.1892933106378755e-20,0.9993372262546457,0.00012088332327512413,6.791869700761688e-07,3.250644948604984e-20
11,359,596308.5,3516682.5,2022,9,6,8.428055067188554e-17,1.0363854614361518e-07,2.1133149018555192e-05,1.2579436863114328e-10,6.246934662788873e-07,2.275983171965337e-16,0.9998528219644777,0.00012531642237710735,6.320212298338815e-12,7.493336177061461e-17
12,376,596359.5,3516679.5,2022,9,6,1.3669217487325585e-16,9.531858822688828e-09,3.3552911193854697e-05,4.791905937109198e-11,3.25557101071173e-09,6.716960836238668e-18,0.9999620395698231,4.394682031507191e-06,1.6021726005100272e-12,8.019876806554389e-16
24,416,596479.5,3516643.5,2022,9,6,1.7371071315757806e-17,2.5639792228739423e-07,0.00041718650624987584,3.616477134345387e-11,1.8997300063226362e-08,5.630047831420345e-13,0.999559162013212,2.182041745871984e-05,1.3760272953451526e-06,1.796038339234188e-07
19,430,596521.5,3516658.5,2022,9,6,1.398339270781177e-22,1.6851430052344416e-13,0.1047879573997618,4.50610121341059e-15,3.121202965510154e-11,1.1539334136138195e-13,0.8703846549901482,4.03744849327757e-07,0.024826983645821758,1.879188253154645e-10
14,460,596611.5,3516673.5,2022,9,6,4.896751326418846e-12,1.0376876034640201e-08,3.411806306668299e-05,3.3210903899189864e-07,5.239594014044045e-07,7.787436454348896e-11,0.9999316339188549,3.3109740116610635e-05,2.7165588124478397e-07,9.399256058538539e-11
28,495,596716.5,3516631.5,2022,9,6,7.965053529837276e-15,1.0700098112304766e-07,0.0005857610805756243,7.91283891760451e-08,4.370179474575708e-07,7.046421320878299e-16,0.9984019601253454,0.0010106796900513258,9.759406317779883e-07,1.6068799951305368e-11
11,531,596824.5,3516682.5,2022,9,6,1.120115924198627e-12,2.5660279924376445e-08,5.0561224538479816e-05,1.1967237363551163e-07,3.2766935021967205e-08,1.2744129336765413e-12,0.9999412970782622,7.37762760126829e-06,5.531395353657881e-07,3.282808027741037e-08
6,564,596923.5,3516697.5,2022,9,6,2.0567643362151753e-09,0.00036141959036906194,2.4697374030620794e-05,3.9766341949656363e-07,8.074348790877215e-05,1.6638162555091175e-10,0.9979636167015692,0.0015689977525662714,3.9834931469485455e-08,8.537205933635737e-08
2,576,596959.5,3516709.5,2022,9,6,6.735884878624936e-13,1.0570853395958895e-07,3.34389293028796e-05,7.595262838516238e-07,1.2244406942804995e-05,1.1619606320864393e-10,0.99963948815626,0.0003138733528280366,8.979802632394899e-08,4.953036378617558e-12
10,611,597064.5,3516685.5,2022,9,6,1.7095650160745535e-05,0.000566326206967502,1.3566775469268898e-05,0.0008690792117458488,1.2960356491562915e-05,7.872014678847949e-07,0.9982538355165096,0.0002595435986644841,1.0428966149245684e-08,6.79505355686074e-06
0,642,597157.5,3516715.5,2022,9,6,0.00030341517747427857,0.004292003458818409,2.984313593100127e-05,0.011641712065044486,0.05328384995261957,3.071202691353785e-05,0.9218582592282478,0.008560193626177772,4.763647470926797e-12,1.1324009230591673e-08
20,680,597271.5,3516655.5,2022,9,6,4.806424721465419e-12,1.3356767983702202e-09,0.00010208967904107103,1.4093024511017695e-05,1.319443407957536e-07,1.0274466057615614e-12,0.9998671629118718,1.6518745122804485e-05,2.3529950905317083e-09,6.073832535132427e-13
8,694,597313.5,3516691.5,2022,9,6,1.4325879307759988e-21,2.223527739377984e-15,0.0004130281384338576,1.318792488684171e-11,3.744336343770143e-12,2.1556051958230918e-19,0.9995864514868598,5.180191098890764e-07,2.3386622769089548e-09,3.856946519267605e-21
2,731,597424.5,3516709.5,2022,9,6,3.5271609307594556e-19,1.028227203557318e-12,0.00018674905203452035,7.775010742450922e-08,3.830064387997406e-08,3.5720463965218247e-16,0.9997718287154149,4.130601518038472e-05,1.6559017552961805e-10,1.0936229508428537e-21
26,778,597565.5,3516637.5,2022,9,6,3.849969852078511e-12,3.35881860059278e-06,1.2808225933123254e-05,7.482072577228613e-08,1.3237963972140252e-08,1.0563589729032007e-12,0.9999730025642073,1.0715168761398651e-05,9.759942595774631e-10,2.6182907436976056e-08
24,789,597598.5,3516643.5,2022,9,6,1.291041059510929e-09,4.5272330624171865e-08,2.0942569316402334e-05,5.113135839448413e-07,1.2195083629713444e-09,1.2176764192157105e-11,0.9999770381290518,1.4529164284404391e-06,5.1293318109707044e-09,2.1472313484949224e-09
17,835,597736.5,3516664.5,2022,9,6,3.4882404437149614e-10,2.3555634754116365e-05,2.5161646002432163e-05,4.4480382000912937e-07,1.3236887184045017e-07,2.252556421043224e-11,0.999842141122027,0.00010847347693955856,2.2341638281077113e-08,6.823459715729118e-08
21,856,597799.5,3516652.5,2022,9,6,2.9456845195612054e-07,0.0005983687658675116,2.3451942343479714e-06,7.806096634415821e-07,1.9070660972737593e-08,1.232687275819103e-10,0.9993831441412977,1.431196746356225e-05,9.59072022063729e-12,7.355495018711635e-07
19,877,597862.5,3516658.5,2022,0,6,0.006836723443196243,0.0003099493508391734,2.4950102049473676e-05,0.001390130265109188,8.023580221337744e-10,0.00032365253097712654,0.9910969092121655,1.7503926362052444e-05,5.677869866680414e-09,1.746890731843377e-07
24,918,597985.5,3516643.5,2022,0,6,9.76137074284961e-08,0.028899840362373735,1.0399363992428229e-05,1.9942037683486018e-09,1.467517402820954e-10,5.28009863096638e-10,0.9706963623203038,0.00021180904370882264,2.5812110206770643e-09,0.0001814860457369738
1,942,598057.5,3516712.5,2022,0,6,0.000790705945595444,0.03156088681118793,1.3256787223448687e-05,0.0006656941933403014,1.2737516221403908e-07,0.00010283452776654864,0.9663235090784638,0.00019270443972723637,2.2170726679417415e-08,0.00035025867080612304
11,985,598186.5,3516682.5,2022,0,6,6.775508274587743e-07,0.2157379947984972,0.00023503715077781139,1.4796281010478018e-07,2.8009546395414445e-09,8.559232704367666e-07,0.771031865595154,0.006720220274473498,8.102500013726942e-06,0.00626509544322054
