,cluster_0,cluster_1,cluster_2,cluster_3,cluster_4,cluster_5,cluster_6,cluster_7,cluster_8,cluster_9
cluster_0,0.0,3.769593054342094,9.18548187811765,2.5293181472586284,2.5489843224118762,2.4668707225012994,3.327337190859295,5.21815086019307,2.5852211581285074,2.8386112537075046
cluster_1,3.769593054342094,0.0,10.092849315687653,2.5039446153814255,4.4274686308284075,2.9074835703377744,2.6265186862034775,4.048291278653987,6.405238553152179,2.3724570516863395
cluster_2,9.18548187811765,10.092849315687653,0.0,11.034349804140248,11.24125374140474,7.331131648032999,10.280156347277199,5.120692711675015,11.13954286151103,11.079272137905525
cluster_3,2.5293181472586284,2.5039446153814255,11.034349804140248,0.0,2.4501692473809418,2.1694246172369502,2.7693131303213465,5.179820807676755,3.760075604253104,2.0360577993693765
cluster_4,2.5489843224118762,4.4274686308284075,11.24125374140474,2.4501692473809418,0.0,4.699384194913983,3.4755111918576396,8.990320068544822,1.962623820154058,2.124664225818349
cluster_5,2.4668707225012994,2.9074835703377744,7.331131648032999,2.1694246172369502,4.699384194913983,0.0,3.07447890589912,3.0509930394361637,5.250486764087329,3.8560938129558617
cluster_6,3.327337190859295,2.6265186862034775,10.280156347277199,2.7693131303213465,3.4755111918576396,3.07447890589912,0.0,4.917546203739395,3.8067121146493617,2.5762293086194767
cluster_7,5.21815086019307,4.048291278653987,5.120692711675015,5.179820807676755,8.990320068544822,3.0509930394361637,4.917546203739395,0.0,10.72324618208258,7.719814071824034
cluster_8,2.5852211581285074,6.405238553152179,11.13954286151103,3.760075604253104,1.962623820154058,5.250486764087329,3.8067121146493617,10.72324618208258,0.0,3.1056769592390974
cluster_9,2.8386112537075046,2.3724570516863395,11.079272137905525,2.0360577993693765,2.124664225818349,3.8560938129558617,2.5762293086194767,7.719814071824034,3.1056769592390974,0.0
