,cluster_0,cluster_1,cluster_2,cluster_3,cluster_4,cluster_5,cluster_6,cluster_7,cluster_8,cluster_9
cluster_0,0.0,2.948557049997144,11.048560257814819,8.40875884179285,4.355678424624081,2.801994550233487,4.946534659342384,2.695579441993228,2.038803204154683,6.397335809996833
cluster_1,2.948557049997144,0.0,10.939456340941039,5.826903344516938,2.6218268210249125,2.690636414801197,2.3602030810080876,1.7907141328797236,2.250684894085307,5.495322946830149
cluster_2,11.048560257814819,10.939456340941039,0.0,11.618864657845487,9.912381576921046,8.744540482127587,11.860406549389234,11.75435968523827,10.325648759612509,6.294621012127554
cluster_3,8.40875884179285,5.826903344516938,11.618864657845487,0.0,6.286820700351541,7.011123515029569,5.571475718743252,7.188819628426004,7.511275198167357,7.452168754321738
cluster_4,4.355678424624081,2.6218268210249125,9.912381576921046,6.286820700351541,0.0,2.618675669632468,2.3869299497456957,2.77911849421033,2.5135934031961025,3.900604135687037
cluster_5,2.801994550233487,2.690636414801197,8.744540482127587,7.011123515029569,2.618675669632468,0.0,4.277413968201833,3.2093711552713384,1.7734303101380418,3.723327374941562
cluster_6,4.946534659342384,2.3602030810080876,11.860406549389234,5.571475718743252,2.3869299497456957,4.277413968201833,0.0,2.55524080225374,3.6060854501152515,5.936142216403225
cluster_7,2.695579441993228,1.7907141328797236,11.75435968523827,7.188819628426004,2.77911849421033,3.2093711552713384,2.55524080225374,0.0,1.719812144699433,6.173470116279894
cluster_8,2.038803204154683,2.250684894085307,10.325648759612509,7.511275198167357,2.5135934031961025,1.7734303101380418,3.6060854501152515,1.719812144699433,0.0,5.054327965441939
cluster_9,6.397335809996833,5.495322946830149,6.294621012127554,7.452168754321738,3.900604135687037,3.723327374941562,5.936142216403225,6.173470116279894,5.054327965441939,0.0
