OGI,50PCGI,OGMx,Peak,OGD,50PCGD,OGmn,row,col
165.0,193.0,218.0,232.0,249.0,297.0,328.0,13,10
168.0,190.0,217.0,233.0,253.0,300.0,340.0,16,34
166.0,188.0,221.0,241.0,266.0,310.0,343.0,15,75
164.0,188.0,217.0,236.0,262.0,306.0,340.0,10,98
169.0,191.0,220.0,244.0,271.0,311.0,347.0,28,131
167.0,190.0,220.0,238.0,261.0,306.0,345.0,11,152
172.0,195.0,221.0,239.0,264.0,309.0,348.0,19,201
171.0,196.0,223.0,244.0,269.0,307.0,345.0,11,217
167.0,185.0,216.0,246.0,272.0,318.0,351.0,13,254
172.0,193.0,220.0,241.0,266.0,312.0,346.0,29,288
170.0,191.0,220.0,239.0,263.0,306.0,343.0,5,317
171.0,192.0,218.0,235.0,255.0,305.0,345.0,18,359
170.0,195.0,221.0,237.0,255.0,304.0,339.0,12,384
171.0,196.0,219.0,232.0,248.0,296.0,338.0,20,396
167.0,192.0,216.0,231.0,249.0,295.0,330.0,22,440
171.0,193.0,217.0,231.0,250.0,300.0,336.0,9,476
170.0,194.0,219.0,234.0,256.0,302.0,336.0,20,485
169.0,194.0,222.0,240.0,263.0,308.0,343.0,20,521
171.0,196.0,219.0,235.0,256.0,308.0,344.0,13,556
166.0,192.0,221.0,240.0,269.0,313.0,344.0,3,590
171.0,196.0,222.0,240.0,271.0,316.0,352.0,18,615
173.0,197.0,225.0,243.0,273.0,312.0,351.0,1,646
175.0,196.0,219.0,235.0,255.0,309.0,349.0,26,677
174.0,197.0,223.0,240.0,261.0,312.0,356.0,25,705
178.0,200.0,221.0,236.0,253.0,304.0,347.0,25,731
178.0,198.0,219.0,235.0,255.0,319.0,357.0,0,758
173.0,198.0,224.0,241.0,266.0,319.0,348.0,29,784
177.0,200.0,225.0,240.0,260.0,317.0,358.0,29,820
178.0,202.0,224.0,242.0,276.0,325.0,359.0,17,857
181.0,206.0,230.0,244.0,264.0,314.0,347.0,24,894
180.0,204.0,228.0,244.0,268.0,313.0,344.0,23,900
182.0,205.0,228.0,243.0,266.0,317.0,354.0,23,946
