method,k,inertia_or_bic,silhouette,davies_bouldin,calinski_harabasz
kmeans,2,60969.4296875,0.606581449508667,0.7597470839491891,5500.3603865149635
kmeans,3,44936.7109375,0.3060476779937744,1.1275356324145804,5966.284763616466
kmeans,4,35168.609375,0.29099413752555847,1.0006074474106508,6241.891446040219
kmeans,5,29523.166015625,0.2944531738758087,0.9653957929313407,6175.045487267101
kmeans,6,26091.7109375,0.25284698605537415,1.056648236109877,5918.793002909498
kmeans,7,23384.62890625,0.2537102699279785,1.0603047291923107,5744.544113644476
kmeans,8,21363.43359375,0.24037261307239532,1.053418883242971,5558.642284901095
kmeans,9,19971.51171875,0.23617656528949738,1.0751969339725966,5311.463437232178
kmeans,10,18823.400390625,0.2262711375951767,1.106875677759246,5093.768783491832
kmeans,11,17778.15234375,0.22255776822566986,1.0862965095602315,4927.155990327503
kmeans,12,17009.55859375,0.22240766882896423,1.129825416326774,4732.68586659145
kmeans,13,16305.8515625,0.21191872656345367,1.1876817461807516,4570.166983432453
kmeans,14,15637.8193359375,0.20702695846557617,1.201044668969977,4439.606559330805
kmeans,15,15111.7744140625,0.20724868774414062,1.183270185651004,4296.80611257831
