year,month,Santa_Rita_Experimental_Range_NEON_archive,Santa_Rita_Experimental_Range_NEON_new,Santa_Rita_Experimental_Range_NEON_total,Walnut_Gulch_Kendall_Grasslands_archive,Walnut_Gulch_Kendall_Grasslands_new,Walnut_Gulch_Kendall_Grasslands_total,Onaqui_NEON_archive,Onaqui_NEON_new,Onaqui_NEON_total,Reynolds_Creek_Wyoming_big_sagebrush_archive,Reynolds_Creek_Wyoming_big_sagebrush_new,Reynolds_Creek_Wyoming_big_sagebrush_total,Moab_NEON_archive,Moab_NEON_new,Moab_NEON_total,Willard_Juniper_Savannah_archive,Willard_Juniper_Savannah_new,Willard_Juniper_Savannah_total,San_Joaquin_Experimental_Range_NEON_archive,San_Joaquin_Experimental_Range_NEON_new,San_Joaquin_Experimental_Range_NEON_total,Tonzi_Ranch_archive,Tonzi_Ranch_new,Tonzi_Ranch_total
2016,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,8,0,0,0,0,0,0
2016,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0
2016,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,30,0,0,0,0,0,0
2016,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,30,0,0,0,0,0,0
2016,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,8,0,0,0,0,0,0
2016,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,20,0,0,0,0,0,0
2017,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,18,0,0,0,0,0,0
2017,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,18,0,0,0,0,0,0
2017,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,36,0,0,0,0,0,0
2017,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,0,66,0,0,0,0,0,0
2017,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,49,0,0,0,0,0,0
2017,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,193,0,193,0,0,0,0,0,0
2017,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180,0,180,0,0,0,0,0,0
2017,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,0,107,0,0,0,0,0,0
2017,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138,0,138,0,0,0,0,0,0
2017,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,251,0,251,0,0,0,0,0,0
2017,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180,0,180,0,0,0,0,0,0
2017,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,0,130,0,0,0,0,0,0
2018,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,158,0,158,0,0,0,0,0,0
2018,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157,0,157,0,0,0,0,0,0
2018,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147,0,147,0,0,0,0,0,0
2018,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138,0,138,0,0,0,0,0,0
2018,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110,0,110,0,0,0,0,0,0
2018,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,220,0,220,0,0,0,0,0,0
2018,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,294,0,294,0,0,0,0,0,0
2018,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,333,0,333,0,0,0,0,0,0
2018,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,0,300,0,0,0,0,0,0
2018,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,270,0,270,0,0,0,0,0,0
