year,Santa_Rita_Experimental_Range_NEON_archive,Santa_Rita_Experimental_Range_NEON_new,Santa_Rita_Experimental_Range_NEON_total,Walnut_Gulch_Kendall_Grasslands_archive,Walnut_Gulch_Kendall_Grasslands_new,Walnut_Gulch_Kendall_Grasslands_total,Reynolds_Creek_Wyoming_big_sagebrush_archive,Reynolds_Creek_Wyoming_big_sagebrush_new,Reynolds_Creek_Wyoming_big_sagebrush_total,Moab_NEON_archive,Moab_NEON_new,Moab_NEON_total,Willard_Juniper_Savannah_archive,Willard_Juniper_Savannah_new,Willard_Juniper_Savannah_total,San_Joaquin_Experimental_Range_NEON_archive,San_Joaquin_Experimental_Range_NEON_new,San_Joaquin_Experimental_Range_NEON_total,Tonzi_Ranch_archive,Tonzi_Ranch_new,Tonzi_Ranch_total
2016,0,0,0,0,0,0,0,0,0,0,0,0,100,0,100,0,0,0,0,0,0
2017,0,0,0,0,0,0,0,0,0,0,0,0,1366,0,1366,0,0,0,0,0,0
2018,0,0,0,0,0,0,0,0,0,0,0,0,2664,0,2664,0,0,0,0,0,0
2019,0,0,0,0,0,0,0,0,0,0,0,0,3327,0,3327,0,0,0,0,0,0
2020,0,0,0,0,0,0,0,0,0,0,0,0,3676,0,3676,0,0,0,0,0,0
2021,3696,0,3696,3723,0,3723,3095,0,3095,3645,0,3645,3654,0,3654,3353,0,3353,3558,0,3558
2022,189,0,189,230,1808,2038,144,0,144,165,0,165,315,1748,2063,177,0,177,207,0,207
2023,0,0,0,0,1602,1602,0,0,0,0,0,0,0,1614,1614,0,0,0,0,0,0
2024,0,0,0,0,1692,1692,0,0,0,0,0,0,0,1612,1612,0,0,0,0,0,0
2025,0,0,0,0,1684,1684,0,0,0,0,0,0,0,1606,1606,0,0,0,0,0,0
2026,0,0,0,0,660,660,0,0,0,0,0,0,0,926,926,0,0,0,0,0,0
