year,US-ARM_archive,US-ARM_new,US-ARM_total,US-Mpj_archive,US-Mpj_new,US-Mpj_total,US-xKZ_archive,US-xKZ_new,US-xKZ_total,US-SRG_archive,US-SRG_new,US-SRG_total,US-SRM_archive,US-SRM_new,US-SRM_total,US-Ses_archive,US-Ses_new,US-Ses_total,US-Wkg_archive,US-Wkg_new,US-Wkg_total,US-Whs_archive,US-Whs_new,US-Whs_total,US-Wjs_archive,US-Wjs_new,US-Wjs_total
2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,100
2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1366,0,1366
2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2664,0,2664
2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3327,0,3327
2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3676,0,3676
2021,2550,0,2550,3591,0,3591,2528,0,2528,3648,0,3648,3660,0,3660,3723,0,3723,3723,0,3723,3701,0,3701,3654,0,3654
2022,120,0,120,186,0,186,165,0,165,207,0,207,174,0,174,216,0,216,230,1808,2038,243,0,243,315,1748,2063
2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1602,1602,0,0,0,0,1614,1614
2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1692,1692,0,0,0,0,1612,1612
2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1684,1684,0,0,0,0,1606,1606
2026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,660,660,0,0,0,0,926,926
