year,month,count
2022,01,210
2022,02,238
2022,03,212
2022,04,158
2022,05,136
2022,06,108
2022,07,108
2022,08,98
2022,09,116
2022,10,138
2022,11,142
2022,12,144
2023,01,122
2023,02,120
2023,03,128
2023,04,182
2023,05,148
2023,06,126
2023,07,132
2023,08,94
2023,09,134
2023,10,120
2023,11,142
2023,12,154
2024,01,138
2024,02,104
2024,03,154
2024,04,136
2024,05,166
2024,06,136
2024,07,148
2024,08,132
2024,09,136
2024,10,150
2024,11,126
2024,12,166
2025,01,156
2025,02,156
2025,03,158
2025,04,170
2025,05,110
2025,06,162
2025,07,124
2025,08,148
2025,09,90
2025,10,132
2025,11,110
2025,12,168
2026,01,146
2026,02,134
2026,03,146
2026,04,86
2026,05,104
2026,06,44
