year,month,count
2016,07,8
2016,08,4
2016,09,30
2016,10,30
2016,11,8
2016,12,20
2017,01,18
2017,02,18
2017,03,36
2017,04,66
2017,05,49
2017,06,193
2017,07,180
2017,08,107
2017,09,138
2017,10,251
2017,11,180
2017,12,130
2018,01,158
2018,02,157
2018,03,147
2018,04,138
2018,05,110
2018,06,220
2018,07,294
2018,08,333
2018,09,300
2018,10,270
2018,11,261
2018,12,276
2019,01,192
2019,02,300
2019,03,294
2019,04,321
2019,05,339
2019,06,315
2019,07,258
2019,08,330
2019,09,252
2019,10,258
2019,11,207
2019,12,261
2020,01,240
2020,02,180
2020,03,252
2020,04,348
2020,05,369
2020,06,420
2020,07,264
2020,08,306
2020,09,276
2020,10,351
2020,11,384
2020,12,286
2021,01,252
2021,02,240
2021,03,345
2021,04,294
2021,05,354
2021,06,363
2021,07,342
2021,08,273
2021,09,366
2021,10,390
2021,11,273
2021,12,162
2022,01,315
