year,month,count
2022,01,248
2022,02,168
2022,03,176
2022,04,164
2022,05,178
2022,06,110
2022,07,148
2022,08,68
2022,09,144
2022,10,104
2022,11,112
2022,12,128
2023,01,136
2023,02,138
2023,03,136
2023,04,194
2023,05,160
2023,06,126
2023,07,128
2023,08,106
2023,09,108
2023,10,106
2023,11,122
2023,12,154
2024,01,134
2024,02,106
2024,03,162
2024,04,132
2024,05,196
2024,06,106
2024,07,148
2024,08,142
2024,09,130
2024,10,146
2024,11,76
2024,12,134
2025,01,120
2025,02,144
2025,03,152
2025,04,148
2025,05,104
2025,06,134
2025,07,122
2025,08,116
2025,09,110
2025,10,130
2025,11,140
2025,12,186
2026,01,216
2026,02,172
2026,03,202
2026,04,154
2026,05,130
2026,06,52
