file,site,year,good_pixels,total_pixels,percent_good_pixels
/projectnb/modislc/users/fache/data/planet/PLSP_production_nc/Moab_NEON/US-xMB_NEON_Moab_PLSP_2017.nc,Moab_NEON,2017,295796,11108889,2.663%
/projectnb/modislc/users/fache/data/planet/PLSP_production_nc/Moab_NEON/US-xMB_NEON_Moab_PLSP_2018.nc,Moab_NEON,2018,176994,11108889,1.593%
/projectnb/modislc/users/fache/data/planet/PLSP_production_nc/Moab_NEON/US-xMB_NEON_Moab_PLSP_2019.nc,Moab_NEON,2019,759196,11108889,6.834%
/projectnb/modislc/users/fache/data/planet/PLSP_production_nc/Moab_NEON/US-xMB_NEON_Moab_PLSP_2020.nc,Moab_NEON,2020,189586,11108889,1.707%
/projectnb/modislc/users/fache/data/planet/PLSP_production_nc/Moab_NEON/US-xMB_NEON_Moab_PLSP_2021.nc,Moab_NEON,2021,878283,11108889,7.906%
/projectnb/modislc/users/fache/data/planet/PLSP_production_nc/Onaqui_NEON/US-xNQ_NEON_Onaqui-Ault_PLSP_2017.nc,Onaqui_NEON,2017,3489573,11112222,31.403%
/projectnb/modislc/users/fache/data/planet/PLSP_production_nc/Onaqui_NEON/US-xNQ_NEON_Onaqui-Ault_PLSP_2018.nc,Onaqui_NEON,2018,374899,11112222,3.374%
/projectnb/modislc/users/fache/data/planet/PLSP_production_nc/Onaqui_NEON/US-xNQ_NEON_Onaqui-Ault_PLSP_2019.nc,Onaqui_NEON,2019,3907841,11112222,35.167%
/projectnb/modislc/users/fache/data/planet/PLSP_production_nc/Onaqui_NEON/US-xNQ_NEON_Onaqui-Ault_PLSP_2020.nc,Onaqui_NEON,2020,233264,11112222,2.099%
/projectnb/modislc/users/fache/data/planet/PLSP_production_nc/Onaqui_NEON/US-xNQ_NEON_Onaqui-Ault_PLSP_2021.nc,Onaqui_NEON,2021,1224225,11112222,11.017%
/projectnb/modislc/users/fache/data/planet/PLSP_production_nc/Reynolds_Creek_Wyoming_big_sagebrush/US-Rws_Reynolds_Creek_Wyoming_big_sagebrush_PLSP_2017.nc,Reynolds_Creek_Wyoming_big_sagebrush,2017,6120891,11112222,55.083%
/projectnb/modislc/users/fache/data/planet/PLSP_production_nc/Reynolds_Creek_Wyoming_big_sagebrush/US-Rws_Reynolds_Creek_Wyoming_big_sagebrush_PLSP_2018.nc,Reynolds_Creek_Wyoming_big_sagebrush,2018,4362855,11112222,39.262%
/projectnb/modislc/users/fache/data/planet/PLSP_production_nc/Reynolds_Creek_Wyoming_big_sagebrush/US-Rws_Reynolds_Creek_Wyoming_big_sagebrush_PLSP_2019.nc,Reynolds_Creek_Wyoming_big_sagebrush,2019,4302199,11112222,38.716%
/projectnb/modislc/users/fache/data/planet/PLSP_production_nc/Reynolds_Creek_Wyoming_big_sagebrush/US-Rws_Reynolds_Creek_Wyoming_big_sagebrush_PLSP_2020.nc,Reynolds_Creek_Wyoming_big_sagebrush,2020,4531944,11112222,40.783%
/projectnb/modislc/users/fache/data/planet/PLSP_production_nc/Reynolds_Creek_Wyoming_big_sagebrush/US-Rws_Reynolds_Creek_Wyoming_big_sagebrush_PLSP_2021.nc,Reynolds_Creek_Wyoming_big_sagebrush,2021,2658747,11112222,23.926%
/projectnb/modislc/users/fache/data/planet/PLSP_production_nc/Santa_Rita_Experimental_Range_NEON/US-xSR_NEON_Santa_Rita_Experimental_Range_PLSP_2017.nc,Santa_Rita_Experimental_Range_NEON,2017,1431002,11112222,12.878%
/projectnb/modislc/users/fache/data/planet/PLSP_production_nc/Santa_Rita_Experimental_Range_NEON/US-xSR_NEON_Santa_Rita_Experimental_Range_PLSP_2018.nc,Santa_Rita_Experimental_Range_NEON,2018,1433487,11112222,12.900%
