file,site,year,good_pixels,total_pixels,percent_good_pixels
/projectnb/modislc/users/fache/data/planet/PLSP_production_nc/Moab_NEON/US-xMB_NEON_Moab_PLSP_2017.nc,Moab_NEON,2017,59714,11108889,0.538%
/projectnb/modislc/users/fache/data/planet/PLSP_production_nc/Moab_NEON/US-xMB_NEON_Moab_PLSP_2018.nc,Moab_NEON,2018,89661,11108889,0.807%
/projectnb/modislc/users/fache/data/planet/PLSP_production_nc/Moab_NEON/US-xMB_NEON_Moab_PLSP_2019.nc,Moab_NEON,2019,299945,11108889,2.700%
/projectnb/modislc/users/fache/data/planet/PLSP_production_nc/Moab_NEON/US-xMB_NEON_Moab_PLSP_2020.nc,Moab_NEON,2020,79901,11108889,0.719%
/projectnb/modislc/users/fache/data/planet/PLSP_production_nc/Moab_NEON/US-xMB_NEON_Moab_PLSP_2021.nc,Moab_NEON,2021,594612,11108889,5.353%
/projectnb/modislc/users/fache/data/planet/PLSP_production_nc/Onaqui_NEON/US-xNQ_NEON_Onaqui-Ault_PLSP_2017.nc,Onaqui_NEON,2017,107402,11112222,0.967%
/projectnb/modislc/users/fache/data/planet/PLSP_production_nc/Onaqui_NEON/US-xNQ_NEON_Onaqui-Ault_PLSP_2018.nc,Onaqui_NEON,2018,124874,11112222,1.124%
/projectnb/modislc/users/fache/data/planet/PLSP_production_nc/Onaqui_NEON/US-xNQ_NEON_Onaqui-Ault_PLSP_2019.nc,Onaqui_NEON,2019,1393824,11112222,12.543%
/projectnb/modislc/users/fache/data/planet/PLSP_production_nc/Onaqui_NEON/US-xNQ_NEON_Onaqui-Ault_PLSP_2020.nc,Onaqui_NEON,2020,72243,11112222,0.650%
/projectnb/modislc/users/fache/data/planet/PLSP_production_nc/Onaqui_NEON/US-xNQ_NEON_Onaqui-Ault_PLSP_2021.nc,Onaqui_NEON,2021,92817,11112222,0.835%
/projectnb/modislc/users/fache/data/planet/PLSP_production_nc/Reynolds_Creek_Wyoming_big_sagebrush/US-Rws_Reynolds_Creek_Wyoming_big_sagebrush_PLSP_2017.nc,Reynolds_Creek_Wyoming_big_sagebrush,2017,7708,11112222,0.069%
/projectnb/modislc/users/fache/data/planet/PLSP_production_nc/Reynolds_Creek_Wyoming_big_sagebrush/US-Rws_Reynolds_Creek_Wyoming_big_sagebrush_PLSP_2018.nc,Reynolds_Creek_Wyoming_big_sagebrush,2018,1334457,11112222,12.009%
/projectnb/modislc/users/fache/data/planet/PLSP_production_nc/Reynolds_Creek_Wyoming_big_sagebrush/US-Rws_Reynolds_Creek_Wyoming_big_sagebrush_PLSP_2019.nc,Reynolds_Creek_Wyoming_big_sagebrush,2019,84823,11112222,0.763%
/projectnb/modislc/users/fache/data/planet/PLSP_production_nc/Reynolds_Creek_Wyoming_big_sagebrush/US-Rws_Reynolds_Creek_Wyoming_big_sagebrush_PLSP_2020.nc,Reynolds_Creek_Wyoming_big_sagebrush,2020,1785489,11112222,16.068%
/projectnb/modislc/users/fache/data/planet/PLSP_production_nc/Reynolds_Creek_Wyoming_big_sagebrush/US-Rws_Reynolds_Creek_Wyoming_big_sagebrush_PLSP_2021.nc,Reynolds_Creek_Wyoming_big_sagebrush,2021,1287636,11112222,11.588%
/projectnb/modislc/users/fache/data/planet/PLSP_production_nc/San_Joaquin_Experimental_Range_NEON/US-xSJ_NEON_San_Joaquin_Experimental_Range_PLSP_2017.nc,San_Joaquin_Experimental_Range_NEON,2017,15248,11112222,0.137%
/projectnb/modislc/users/fache/data/planet/PLSP_production_nc/San_Joaquin_Experimental_Range_NEON/US-xSJ_NEON_San_Joaquin_Experimental_Range_PLSP_2018.nc,San_Joaquin_Experimental_Range_NEON,2018,4556297,11112222,41.003%
/projectnb/modislc/users/fache/data/planet/PLSP_production_nc/San_Joaquin_Experimental_Range_NEON/US-xSJ_NEON_San_Joaquin_Experimental_Range_PLSP_2019.nc,San_Joaquin_Experimental_Range_NEON,2019,8319166,11112222,74.865%
/projectnb/modislc/users/fache/data/planet/PLSP_production_nc/San_Joaquin_Experimental_Range_NEON/US-xSJ_NEON_San_Joaquin_Experimental_Range_PLSP_2020.nc,San_Joaquin_Experimental_Range_NEON,2020,691802,11112222,6.226%
/projectnb/modislc/users/fache/data/planet/PLSP_production_nc/San_Joaquin_Experimental_Range_NEON/US-xSJ_NEON_San_Joaquin_Experimental_Range_PLSP_2021.nc,San_Joaquin_Experimental_Range_NEON,2021,9060507,11112222,81.536%
/projectnb/modislc/users/fache/data/planet/PLSP_production_nc/Santa_Rita_Experimental_Range_NEON/US-xSR_NEON_Santa_Rita_Experimental_Range_PLSP_2017.nc,Santa_Rita_Experimental_Range_NEON,2017,420463,11112222,3.784%
/projectnb/modislc/users/fache/data/planet/PLSP_production_nc/Santa_Rita_Experimental_Range_NEON/US-xSR_NEON_Santa_Rita_Experimental_Range_PLSP_2018.nc,Santa_Rita_Experimental_Range_NEON,2018,1115494,11112222,10.038%
/projectnb/modislc/users/fache/data/planet/PLSP_production_nc/Santa_Rita_Experimental_Range_NEON/US-xSR_NEON_Santa_Rita_Experimental_Range_PLSP_2019.nc,Santa_Rita_Experimental_Range_NEON,2019,190084,11112222,1.711%
/projectnb/modislc/users/fache/data/planet/PLSP_production_nc/Santa_Rita_Experimental_Range_NEON/US-xSR_NEON_Santa_Rita_Experimental_Range_PLSP_2020.nc,Santa_Rita_Experimental_Range_NEON,2020,2695,11112222,0.024%
/projectnb/modislc/users/fache/data/planet/PLSP_production_nc/Santa_Rita_Experimental_Range_NEON/US-xSR_NEON_Santa_Rita_Experimental_Range_PLSP_2021.nc,Santa_Rita_Experimental_Range_NEON,2021,9683202,11112222,87.140%
/projectnb/modislc/users/fache/data/planet/PLSP_production_nc/Tonzi_Ranch/US-Ton_Tonzi_Ranch_PLSP_2017.nc,Tonzi_Ranch,2017,25247,11112222,0.227%
/projectnb/modislc/users/fache/data/planet/PLSP_production_nc/Tonzi_Ranch/US-Ton_Tonzi_Ranch_PLSP_2018.nc,Tonzi_Ranch,2018,8679639,11112222,78.109%
/projectnb/modislc/users/fache/data/planet/PLSP_production_nc/Tonzi_Ranch/US-Ton_Tonzi_Ranch_PLSP_2019.nc,Tonzi_Ranch,2019,313985,11112222,2.826%
/projectnb/modislc/users/fache/data/planet/PLSP_production_nc/Tonzi_Ranch/US-Ton_Tonzi_Ranch_PLSP_2020.nc,Tonzi_Ranch,2020,3099457,11112222,27.892%
/projectnb/modislc/users/fache/data/planet/PLSP_production_nc/Tonzi_Ranch/US-Ton_Tonzi_Ranch_PLSP_2021.nc,Tonzi_Ranch,2021,5340052,11112222,48.056%
/projectnb/modislc/users/fache/data/planet/PLSP_production_nc/Walnut_Gulch_Kendall_Grasslands/US-Wkg_Walnut_Gulch_Kendall_Grasslands_PLSP_2017.nc,Walnut_Gulch_Kendall_Grasslands,2017,782283,11115556,7.038%
/projectnb/modislc/users/fache/data/planet/PLSP_production_nc/Walnut_Gulch_Kendall_Grasslands/US-Wkg_Walnut_Gulch_Kendall_Grasslands_PLSP_2018.nc,Walnut_Gulch_Kendall_Grasslands,2018,6725283,11115556,60.503%
/projectnb/modislc/users/fache/data/planet/PLSP_production_nc/Walnut_Gulch_Kendall_Grasslands/US-Wkg_Walnut_Gulch_Kendall_Grasslands_PLSP_2019.nc,Walnut_Gulch_Kendall_Grasslands,2019,3717341,11115556,33.443%
/projectnb/modislc/users/fache/data/planet/PLSP_production_nc/Walnut_Gulch_Kendall_Grasslands/US-Wkg_Walnut_Gulch_Kendall_Grasslands_PLSP_2020.nc,Walnut_Gulch_Kendall_Grasslands,2020,148306,11115556,1.334%
/projectnb/modislc/users/fache/data/planet/PLSP_production_nc/Walnut_Gulch_Kendall_Grasslands/US-Wkg_Walnut_Gulch_Kendall_Grasslands_PLSP_2021.nc,Walnut_Gulch_Kendall_Grasslands,2021,10847680,11115556,97.590%
/projectnb/modislc/users/fache/data/planet/PLSP_production_nc/Willard_Juniper_Savannah/US-Wjs_Willard_Juniper_Savannah_PLSP_2017.nc,Willard_Juniper_Savannah,2017,50939,11115556,0.458%
/projectnb/modislc/users/fache/data/planet/PLSP_production_nc/Willard_Juniper_Savannah/US-Wjs_Willard_Juniper_Savannah_PLSP_2018.nc,Willard_Juniper_Savannah,2018,1386850,11115556,12.477%
/projectnb/modislc/users/fache/data/planet/PLSP_production_nc/Willard_Juniper_Savannah/US-Wjs_Willard_Juniper_Savannah_PLSP_2019.nc,Willard_Juniper_Savannah,2019,16739,11115556,0.151%
/projectnb/modislc/users/fache/data/planet/PLSP_production_nc/Willard_Juniper_Savannah/US-Wjs_Willard_Juniper_Savannah_PLSP_2020.nc,Willard_Juniper_Savannah,2020,594687,11115556,5.350%
/projectnb/modislc/users/fache/data/planet/PLSP_production_nc/Willard_Juniper_Savannah/US-Wjs_Willard_Juniper_Savannah_PLSP_2021.nc,Willard_Juniper_Savannah,2021,8423097,11115556,75.778%
/projectnb/modislc/users/fache/data/planet/PLSP_stage_nc/Moab_NEON/PLSP_2022.nc,Moab_NEON,2022,158160,11108889,1.424%
/projectnb/modislc/users/fache/data/planet/PLSP_stage_nc/Moab_NEON/PLSP_2023.nc,Moab_NEON,2023,783490,11108889,7.053%
/projectnb/modislc/users/fache/data/planet/PLSP_stage_nc/Moab_NEON/PLSP_2024.nc,Moab_NEON,2024,390831,11108889,3.518%
/projectnb/modislc/users/fache/data/planet/PLSP_stage_nc/Moab_NEON/PLSP_2025.nc,Moab_NEON,2025,193586,11108889,1.743%
/projectnb/modislc/users/fache/data/planet/PLSP_stage_nc/Santa_Rita_Experimental_Range_NEON/PLSP_2022.nc,Santa_Rita_Experimental_Range_NEON,2022,7704131,11112222,69.330%
/projectnb/modislc/users/fache/data/planet/PLSP_stage_nc/Santa_Rita_Experimental_Range_NEON/PLSP_2023.nc,Santa_Rita_Experimental_Range_NEON,2023,170300,11112222,1.533%
/projectnb/modislc/users/fache/data/planet/PLSP_stage_nc/Santa_Rita_Experimental_Range_NEON/PLSP_2024.nc,Santa_Rita_Experimental_Range_NEON,2024,1489271,11112222,13.402%
/projectnb/modislc/users/fache/data/planet/PLSP_stage_nc/Santa_Rita_Experimental_Range_NEON/PLSP_2025.nc,Santa_Rita_Experimental_Range_NEON,2025,130195,11112222,1.172%
/projectnb/modislc/users/fache/data/planet/PLSP_stage_nc/Tonzi_Ranch/PLSP_2022.nc,Tonzi_Ranch,2022,7078460,11112222,63.700%
/projectnb/modislc/users/fache/data/planet/PLSP_stage_nc/Tonzi_Ranch/PLSP_2023.nc,Tonzi_Ranch,2023,8768426,11112222,78.908%
/projectnb/modislc/users/fache/data/planet/PLSP_stage_nc/Tonzi_Ranch/PLSP_2024.nc,Tonzi_Ranch,2024,8762155,11112222,78.852%
/projectnb/modislc/users/fache/data/planet/PLSP_stage_nc/Tonzi_Ranch/PLSP_2025.nc,Tonzi_Ranch,2025,8588700,11112222,77.291%
/projectnb/modislc/users/fache/data/planet/PLSP_stage_nc/Walnut_Gulch_Kendall_Grasslands/PLSP_2022.nc,Walnut_Gulch_Kendall_Grasslands,2022,10894115,11115556,98.008%
/projectnb/modislc/users/fache/data/planet/PLSP_stage_nc/Walnut_Gulch_Kendall_Grasslands/PLSP_2023.nc,Walnut_Gulch_Kendall_Grasslands,2023,10955458,11115556,98.560%
/projectnb/modislc/users/fache/data/planet/PLSP_stage_nc/Walnut_Gulch_Kendall_Grasslands/PLSP_2024.nc,Walnut_Gulch_Kendall_Grasslands,2024,3000644,11115556,26.995%
/projectnb/modislc/users/fache/data/planet/PLSP_stage_nc/Walnut_Gulch_Kendall_Grasslands/PLSP_2025.nc,Walnut_Gulch_Kendall_Grasslands,2025,3988748,11115556,35.884%
/projectnb/modislc/users/fache/data/planet/PLSP_stage_nc/Willard_Juniper_Savannah/PLSP_2017.nc,Willard_Juniper_Savannah,2017,66266,11115556,0.596%
/projectnb/modislc/users/fache/data/planet/PLSP_stage_nc/Willard_Juniper_Savannah/PLSP_2018.nc,Willard_Juniper_Savannah,2018,1311787,11115556,11.801%
/projectnb/modislc/users/fache/data/planet/PLSP_stage_nc/Willard_Juniper_Savannah/PLSP_2019.nc,Willard_Juniper_Savannah,2019,15764,11115556,0.142%
/projectnb/modislc/users/fache/data/planet/PLSP_stage_nc/Willard_Juniper_Savannah/PLSP_2020.nc,Willard_Juniper_Savannah,2020,598200,11115556,5.382%
/projectnb/modislc/users/fache/data/planet/PLSP_stage_nc/Willard_Juniper_Savannah/PLSP_2021.nc,Willard_Juniper_Savannah,2021,8425447,11115556,75.799%
/projectnb/modislc/users/fache/data/planet/PLSP_stage_nc/Willard_Juniper_Savannah/PLSP_2022.nc,Willard_Juniper_Savannah,2022,4146776,11115556,37.306%
/projectnb/modislc/users/fache/data/planet/PLSP_stage_nc/Willard_Juniper_Savannah/PLSP_2023.nc,Willard_Juniper_Savannah,2023,181504,11115556,1.633%
/projectnb/modislc/users/fache/data/planet/PLSP_stage_nc/Willard_Juniper_Savannah/PLSP_2024.nc,Willard_Juniper_Savannah,2024,5222998,11115556,46.988%
/projectnb/modislc/users/fache/data/planet/PLSP_stage_nc/Willard_Juniper_Savannah/PLSP_2025.nc,Willard_Juniper_Savannah,2025,3777206,11115556,33.981%
