file,site,year,good_pixels,total_pixels,percent_good_pixels
/projectnb/modislc/users/fache/data/planet/PLSP_production_nc/ARM_Southern_Great_Plains_site/US-ARM_ARM_Southern_Great_Plains_site_PLSP_2017.nc,ARM_Southern_Great_Plains_site,2017,8761034,11108889,78.865%
/projectnb/modislc/users/fache/data/planet/PLSP_production_nc/ARM_Southern_Great_Plains_site/US-ARM_ARM_Southern_Great_Plains_site_PLSP_2018.nc,ARM_Southern_Great_Plains_site,2018,10483028,11108889,94.366%
/projectnb/modislc/users/fache/data/planet/PLSP_production_nc/ARM_Southern_Great_Plains_site/US-ARM_ARM_Southern_Great_Plains_site_PLSP_2019.nc,ARM_Southern_Great_Plains_site,2019,10912356,11108889,98.231%
/projectnb/modislc/users/fache/data/planet/PLSP_production_nc/ARM_Southern_Great_Plains_site/US-ARM_ARM_Southern_Great_Plains_site_PLSP_2020.nc,ARM_Southern_Great_Plains_site,2020,10978774,11108889,98.829%
/projectnb/modislc/users/fache/data/planet/PLSP_production_nc/ARM_Southern_Great_Plains_site/US-ARM_ARM_Southern_Great_Plains_site_PLSP_2021.nc,ARM_Southern_Great_Plains_site,2021,10896041,11108889,98.084%
/projectnb/modislc/users/fache/data/planet/PLSP_production_nc/Mountainair_Pinyon-Juniper_Woodland/US-Mpj_Mountainair_Pinyon-Juniper_Woodland_PLSP_2017.nc,Mountainair_Pinyon-Juniper_Woodland,2017,520041,11112222,4.680%
/projectnb/modislc/users/fache/data/planet/PLSP_production_nc/Mountainair_Pinyon-Juniper_Woodland/US-Mpj_Mountainair_Pinyon-Juniper_Woodland_PLSP_2018.nc,Mountainair_Pinyon-Juniper_Woodland,2018,516976,11112222,4.652%
/projectnb/modislc/users/fache/data/planet/PLSP_production_nc/Mountainair_Pinyon-Juniper_Woodland/US-Mpj_Mountainair_Pinyon-Juniper_Woodland_PLSP_2019.nc,Mountainair_Pinyon-Juniper_Woodland,2019,247854,11112222,2.230%
/projectnb/modislc/users/fache/data/planet/PLSP_production_nc/Mountainair_Pinyon-Juniper_Woodland/US-Mpj_Mountainair_Pinyon-Juniper_Woodland_PLSP_2020.nc,Mountainair_Pinyon-Juniper_Woodland,2020,838481,11112222,7.546%
/projectnb/modislc/users/fache/data/planet/PLSP_production_nc/Mountainair_Pinyon-Juniper_Woodland/US-Mpj_Mountainair_Pinyon-Juniper_Woodland_PLSP_2021.nc,Mountainair_Pinyon-Juniper_Woodland,2021,6426018,11112222,57.828%
/projectnb/modislc/users/fache/data/planet/PLSP_production_nc/NEON_Konza_Prairie_Biological_Station/US-xKZ_NEON_Konza_Prairie_Biological_Station_PLSP_2017.nc,NEON_Konza_Prairie_Biological_Station,2017,10931192,11108889,98.400%
/projectnb/modislc/users/fache/data/planet/PLSP_production_nc/NEON_Konza_Prairie_Biological_Station/US-xKZ_NEON_Konza_Prairie_Biological_Station_PLSP_2018.nc,NEON_Konza_Prairie_Biological_Station,2018,10960068,11108889,98.660%
/projectnb/modislc/users/fache/data/planet/PLSP_production_nc/NEON_Konza_Prairie_Biological_Station/US-xKZ_NEON_Konza_Prairie_Biological_Station_PLSP_2019.nc,NEON_Konza_Prairie_Biological_Station,2019,10973650,11108889,98.783%
/projectnb/modislc/users/fache/data/planet/PLSP_production_nc/NEON_Konza_Prairie_Biological_Station/US-xKZ_NEON_Konza_Prairie_Biological_Station_PLSP_2020.nc,NEON_Konza_Prairie_Biological_Station,2020,10992354,11108889,98.951%
/projectnb/modislc/users/fache/data/planet/PLSP_production_nc/NEON_Konza_Prairie_Biological_Station/US-xKZ_NEON_Konza_Prairie_Biological_Station_PLSP_2021.nc,NEON_Konza_Prairie_Biological_Station,2021,11006872,11108889,99.082%
/projectnb/modislc/users/fache/data/planet/PLSP_production_nc/Santa_Rita_Experimental_Range_NEON/US-xSR_NEON_Santa_Rita_Experimental_Range_PLSP_2017.nc,Santa_Rita_Experimental_Range_NEON,2017,1431002,11112222,12.878%
