site_name,site_url,latitude,longitude,elevation_m,active,date_first,date_last
aafcottawacfiaf14e,https://phenocam.nau.edu/webcam/sites/aafcottawacfiaf14e/,45.2921,-75.7664,90,True,2020-04-27,2025-08-26
aafcottawacfiaf14n,https://phenocam.nau.edu/webcam/sites/aafcottawacfiaf14n/,45.2929,-75.767,90,True,2021-09-03,2025-08-26
aafcottawacfiaf14w,https://phenocam.nau.edu/webcam/sites/aafcottawacfiaf14w/,45.2921,-75.7664,90,True,2020-05-01,2025-08-26
acadia,https://phenocam.nau.edu/webcam/sites/acadia/,44.37694,-68.26083,158,False,2007-03-15,2022-01-07
admixpasture,https://phenocam.nau.edu/webcam/sites/admixpasture/,-43.6493,172.3495,33,False,2021-03-04,2022-09-08
adrycpasture,https://phenocam.nau.edu/webcam/sites/adrycpasture/,-43.6513,172.3501,31,False,2021-03-02,2022-09-08
aguamarga,https://phenocam.nau.edu/webcam/sites/aguamarga/,36.94,-2.0332,200,True,2023-11-29,2026-03-23
aguatibianorth,https://phenocam.nau.edu/webcam/sites/aguatibianorth/,33.60222,-117.34368,1090,False,2003-10-01,2006-10-25
ahwahnee,https://phenocam.nau.edu/webcam/sites/ahwahnee/,37.7467,-119.5816,1199,False,2008-08-28,2022-07-20
alercecosteroforest,https://phenocam.nau.edu/webcam/sites/alercecosteroforest/,-40.1726,-73.4439,840,True,2023-01-24,2026-03-23
alleypond,https://phenocam.nau.edu/webcam/sites/alleypond/,40.74284,-73.74304,61,False,2014-11-05,2015-10-13
alligatorriver,https://phenocam.nau.edu/webcam/sites/alligatorriver/,35.7879,-75.9038,1,False,2012-05-03,2021-12-21
almondifapa,https://phenocam.nau.edu/webcam/sites/almondifapa/,37.8545,-4.8064,106,True,2024-06-26,2025-03-22
amoladeras7,https://phenocam.nau.edu/webcam/sites/amoladeras7/,36.8159,-2.2787,10,True,2026-01-19,2026-03-23
amoladeras9,https://phenocam.nau.edu/webcam/sites/amoladeras9/,36.8208,-2.2681,15,True,2025-06-18,2026-03-23
amtsvenn,https://phenocam.nau.edu/webcam/sites/amtsvenn/,52.176,6.955,44,True,2023-08-09,2026-03-23
anisclo,https://phenocam.nau.edu/webcam/sites/anisclo/,42.55941,0.05089,952,True,2023-04-18,2025-11-10
apvcontrol,https://phenocam.nau.edu/webcam/sites/apvcontrol/,50.8632,6.5311,169,True,2023-05-22,2026-03-16
apvexperiment,https://phenocam.nau.edu/webcam/sites/apvexperiment/,50.8634,6.5309,169,True,2023-05-25,2026-03-23
arbutuslake,https://phenocam.nau.edu/webcam/sites/arbutuslake/,43.98207,-74.23322,535,False,2008-06-12,2014-08-23
arbutuslakeinlet,https://phenocam.nau.edu/webcam/sites/arbutuslakeinlet/,43.99336,-74.24527,527,True,2015-08-19,2026-03-13
archboldavir,https://phenocam.nau.edu/webcam/sites/archboldavir/,27.17606,-81.21958,8,True,2016-11-17,2025-03-22
archboldavirx,https://phenocam.nau.edu/webcam/sites/archboldavirx/,27.16663,-81.21983,8,True,2016-05-15,2026-03-23
archboldbahia,https://phenocam.nau.edu/webcam/sites/archboldbahia/,27.1656,-81.21611,8,True,2017-03-21,2026-03-23
archboldimprovednorth,https://phenocam.nau.edu/webcam/sites/archboldimprovednorth/,27.188,-81.2,9,True,2026-02-04,2026-03-23
archboldpnot,https://phenocam.nau.edu/webcam/sites/archboldpnot/,27.18795,-81.20034,9,True,2016-05-13,2025-03-06
archboldpnotx,https://phenocam.nau.edu/webcam/sites/archboldpnotx/,27.18068,-81.20068,9,True,2016-05-15,2025-03-04
archboldwet,https://phenocam.nau.edu/webcam/sites/archboldwet/,27.19,-81.21,8,True,2016-05-24,2024-06-26
arkansascornsoy,https://phenocam.nau.edu/webcam/sites/arkansascornsoy/,34.416,-91.6723,61,True,2021-05-25,2024-10-28
arkansaswhitaker,https://phenocam.nau.edu/webcam/sites/arkansaswhitaker/,33.6216,-91.4306,41,True,2022-02-24,2025-04-15
armoklahoma,https://phenocam.nau.edu/webcam/sites/armoklahoma/,36.6058,-97.4888,314,False,2002-12-19,2014-05-08
arsbrooks10,https://phenocam.nau.edu/webcam/sites/arsbrooks10/,41.9749,-93.6905,312,False,2019-07-10,2025-04-08
arsbrooks11,https://phenocam.nau.edu/webcam/sites/arsbrooks11/,41.9744,-93.6937,313,False,2019-07-01,2025-04-08
arscolesnorth,https://phenocam.nau.edu/webcam/sites/arscolesnorth/,42.4884,-93.5225,356,True,2018-08-22,2026-03-23
arscolessouth,https://phenocam.nau.edu/webcam/sites/arscolessouth/,42.4816,-93.5235,352,True,2018-08-17,2026-03-23
arsgacp1,https://phenocam.nau.edu/webcam/sites/arsgacp1/,31.5109,-83.6179,96,True,2016-05-10,2026-03-23
arsgacp2,https://phenocam.nau.edu/webcam/sites/arsgacp2/,31.4395,-83.59146,101,False,2016-04-27,2018-01-23
arsgacp3,https://phenocam.nau.edu/webcam/sites/arsgacp3/,31.7563,-83.7516,139,True,2018-04-18,2026-03-23
arsgacp4,https://phenocam.nau.edu/webcam/sites/arsgacp4/,31.7093,-83.7287,127,True,2018-06-21,2026-03-23
arsgreatbasinltar098,https://phenocam.nau.edu/webcam/sites/arsgreatbasinltar098/,43.1675,-116.7132,1426,True,2017-05-18,2026-03-23
arsgreatbasinltar117,https://phenocam.nau.edu/webcam/sites/arsgreatbasinltar117/,43.1432,-116.7357,1625,True,2021-03-10,2026-03-23
arsgreatbasinltar177,https://phenocam.nau.edu/webcam/sites/arsgreatbasinltar177/,43.0645,-116.7484,2114,True,2018-10-17,2026-03-23
arsltarmdcr,https://phenocam.nau.edu/webcam/sites/arsltarmdcr/,39.0587,-75.8513,17,True,2017-05-10,2026-03-23
arsltarmdcrnatw,https://phenocam.nau.edu/webcam/sites/arsltarmdcrnatw/,39.0575,-75.7531,16,True,2019-03-11,2026-03-23
arsltarmdcrprcw,https://phenocam.nau.edu/webcam/sites/arsltarmdcrprcw/,39.0667,-75.7609,17,True,2019-02-15,2026-03-23
arsltarmdcrresw,https://phenocam.nau.edu/webcam/sites/arsltarmdcrresw/,39.0549,-75.7532,16,True,2019-03-19,2026-03-23
arsltarucbec1,https://phenocam.nau.edu/webcam/sites/arsltarucbec1/,40.7537,-78.0057,400,True,2019-05-16,2026-03-23
arsltarucbec2,https://phenocam.nau.edu/webcam/sites/arsltarucbec2/,40.7558,-77.9999,396,True,2019-05-16,2026-03-23
arsmnswanlake1,https://phenocam.nau.edu/webcam/sites/arsmnswanlake1/,45.68451,-95.7997,370,True,2015-10-02,2026-03-23
arsmorris1,https://phenocam.nau.edu/webcam/sites/arsmorris1/,45.6167,-96.1269,341,True,2017-07-25,2026-02-23
arsmorris2,https://phenocam.nau.edu/webcam/sites/arsmorris2/,45.627,-96.127,338,True,2017-07-25,2026-02-23
arsmorris3,https://phenocam.nau.edu/webcam/sites/arsmorris3/,45.6091,-96.1265,342,True,2020-04-28,2026-02-23
arsoljubljana,https://phenocam.nau.edu/webcam/sites/arsoljubljana/,46.0656,14.5125,300,True,2024-04-09,2025-12-17
arsope3ltar,https://phenocam.nau.edu/webcam/sites/arsope3ltar/,39.0309,-76.8442,41,True,2017-04-10,2026-03-23
arsspltarc2,https://phenocam.nau.edu/webcam/sites/arsspltarc2/,35.5685,-98.0558,414,False,2018-02-09,2018-10-06
arvam4,https://phenocam.nau.edu/webcam/sites/arvam4/,34.4159,-91.6733,61,True,2021-04-07,2026-03-23
arvaryans,https://phenocam.nau.edu/webcam/sites/arvaryans/,34.4346,-91.6892,61,True,2025-04-16,2026-03-23
asa,https://phenocam.nau.edu/webcam/sites/asa/,57.16446,14.78247,180,False,2010-10-28,2017-01-10
asa2,https://phenocam.nau.edu/webcam/sites/asa2/,57.16446,14.78247,180,True,2017-01-10,2026-03-23
ashbottoms,https://phenocam.nau.edu/webcam/sites/ashbottoms/,38.8668,-96.9028,374,False,2015-08-18,2017-01-15
ashburnham,https://phenocam.nau.edu/webcam/sites/ashburnham/,42.6029,-71.926,292,True,2011-09-13,2026-03-23
asuhighlands,https://phenocam.nau.edu/webcam/sites/asuhighlands/,36.2076,-81.7032,1016,True,2016-07-12,2026-03-23
austincary,https://phenocam.nau.edu/webcam/sites/austincary/,29.738,-82.2188,44,False,2016-01-11,2021-06-28
aysenforest,https://phenocam.nau.edu/webcam/sites/aysenforest/,-44.8002,-72.8254,50,False,2024-01-05,2024-01-05
barrocolorado,https://phenocam.nau.edu/webcam/sites/barrocolorado/,9.1582,-79.8475,150,True,2013-03-21,2026-03-23
barrocolorado2,https://phenocam.nau.edu/webcam/sites/barrocolorado2/,9.154,-79.848,150,False,2014-11-21,2015-10-06
barrocolorado3,https://phenocam.nau.edu/webcam/sites/barrocolorado3/,9.154,-79.848,150,False,2014-11-21,2015-10-06
barrocolorado4,https://phenocam.nau.edu/webcam/sites/barrocolorado4/,9.1565,-79.8482,164,True,2019-01-29,2026-03-12
barrow,https://phenocam.nau.edu/webcam/sites/barrow/,71.28007,-156.60915,5,False,2013-05-22,2019-06-25
bartlett,https://phenocam.nau.edu/webcam/sites/bartlett/,44.0646,-71.2881,268,False,2005-10-04,2016-06-09
bartlettir,https://phenocam.nau.edu/webcam/sites/bartlettir/,44.0646,-71.2881,268,True,2008-04-18,2025-05-13
baselklingelbergstrasse,https://phenocam.nau.edu/webcam/sites/baselklingelbergstrasse/,47.5617,7.5805,300,False,2025-04-11,2026-02-25
basellangeerlen,https://phenocam.nau.edu/webcam/sites/basellangeerlen/,47.5923,7.6492,277,True,2025-04-04,2026-03-23
bbc1,https://phenocam.nau.edu/webcam/sites/bbc1/,42.53508,-72.17436,362,True,2015-05-04,2026-03-23
bbc2,https://phenocam.nau.edu/webcam/sites/bbc2/,42.542,-72.185,380,False,2015-05-04,2021-07-21
bbc3,https://phenocam.nau.edu/webcam/sites/bbc3/,42.53556,-72.18957,350,False,2015-05-04,2021-04-30
bbc4,https://phenocam.nau.edu/webcam/sites/bbc4/,42.5378,-72.1715,350,False,2015-05-04,2021-04-30
bbc5,https://phenocam.nau.edu/webcam/sites/bbc5/,41.5495,-70.6432,10,True,2015-06-22,2026-03-23
bbc6,https://phenocam.nau.edu/webcam/sites/bbc6/,44.0917,-71.152,160,False,2015-05-15,2017-07-08
bbc7,https://phenocam.nau.edu/webcam/sites/bbc7/,44.0646,-71.2881,289,True,2015-05-15,2026-03-23
bezamahafaly,https://phenocam.nau.edu/webcam/sites/bezamahafaly/,-23.6558,44.6289,165,True,2023-07-02,2026-03-23
biebrzakpt,https://phenocam.nau.edu/webcam/sites/biebrzakpt/,53.5919,22.8923,109,True,2022-03-01,2023-09-30
bigtraillake,https://phenocam.nau.edu/webcam/sites/bigtraillake/,64.9194,-147.822,190,True,2020-08-13,2026-03-23
bitterbrush001,https://phenocam.nau.edu/webcam/sites/bitterbrush001/,48.154,-119.9456,667,True,2020-09-20,2026-02-15
bitterootvalley,https://phenocam.nau.edu/webcam/sites/bitterootvalley/,46.507,-114.091,1017,False,2002-04-18,2019-05-16
blackrockforest,https://phenocam.nau.edu/webcam/sites/blackrockforest/,41.3974,-74.0239,427,True,2020-05-22,2024-10-11
blueoakheadquarters,https://phenocam.nau.edu/webcam/sites/blueoakheadquarters/,37.3827,-121.7393,572,True,2022-01-24,2026-02-22
blumberg,https://phenocam.nau.edu/webcam/sites/blumberg/,53.1975,14.1182,5,True,2025-04-10,2026-03-23
bnzblackspruce,https://phenocam.nau.edu/webcam/sites/bnzblackspruce/,64.6963,-148.3235,102,True,2021-01-25,2026-03-23
bnzoldbog,https://phenocam.nau.edu/webcam/sites/bnzoldbog/,64.6936,-148.33,100,True,2022-09-29,2026-03-23
bnzrichfen,https://phenocam.nau.edu/webcam/sites/bnzrichfen/,64.70134,-148.31195,97,True,2020-08-15,2026-03-23
bnzthermokarstbog,https://phenocam.nau.edu/webcam/sites/bnzthermokarstbog/,64.6955,-148.3208,104,True,2020-09-08,2026-03-23
