neon_id,year,month,year_month,DP3.30010.001,DP3.30015.001,DP3.30026.002,all_products
SRER,2017,08,2017-08,1,1,0,0
SRER,2018,08,2018-08,1,1,0,0
SRER,2019,09,2019-09,1,1,0,0
SRER,2021,09,2021-09,1,1,0,0
SRER,2022,08,2022-08,1,1,1,1
SRER,2024,09,2024-09,1,1,1,1
SRER,2025,09,2025-09,1,1,1,1
ONAQ,2017,06,2017-06,1,1,0,0
ONAQ,2019,05,2019-05,1,1,0,0
ONAQ,2021,05,2021-05,1,1,0,0
ONAQ,2022,05,2022-05,1,1,1,1
ONAQ,2023,04,2023-04,1,1,1,1
ONAQ,2026,05,2026-05,0,1,1,0
MOAB,2017,09,2017-09,1,1,1,1
MOAB,2018,08,2018-08,1,1,0,0
MOAB,2019,08,2019-08,1,1,0,0
MOAB,2020,07,2020-07,1,1,0,0
MOAB,2021,04,2021-04,1,1,0,0
MOAB,2022,04,2022-04,1,1,1,1
MOAB,2023,04,2023-04,1,1,1,1
SJER,2013,06,2013-06,1,1,0,0
SJER,2017,03,2017-03,1,1,0,0
SJER,2018,03,2018-03,1,1,0,0
SJER,2019,03,2019-03,1,1,0,0
SJER,2021,03,2021-03,1,1,0,0
SJER,2023,04,2023-04,1,1,1,1
SJER,2024,04,2024-04,1,1,1,1
SJER,2026,04,2026-04,1,1,1,1
