Flux Site Name,Site ID,(phenocam)site_name,geometry,(flux)Name,(flux)Vegetation Abbreviation (IGBP),(flux)Vegetation Description (IGBP),(flux)Climate Class Description (Koeppen),(flux)Mean Average Precipitation (mm),(flux)Mean Average Temperature (degrees C),(flux)Country,(flux)Elevation (m),(flux)Number of years of AmeriFlux BASE data,(flux)AmeriFlux BASE Data Start,(flux)AmeriFlux BASE Data End,(flux)Years of AmeriFlux BASE Data,(flux)AmeriFlux BASE DOI,(flux)AmeriFlux FLUXNET Data Start,(flux)AmeriFlux FLUXNET Data End,(flux)Years of AmeriFlux FLUXNET Data,(flux)AmeriFlux FLUXNET DOI,(flux)Site Start,(flux)Site End,(flux)BASE variables available,(flux)FLUXNET variables available,(phenocam)site_url,(phenocam)latitude,(phenocam)longitude,(phenocam)elevation_m,(phenocam)active,(phenocam)date_first,(phenocam)date_last
Walnut Gulch Kendall Grasslands (WKG),US-Wkg,kendall,POINT (31.7365 -109.9419),Walnut Gulch Kendall Grasslands,GRA,"Grasslands: Lands with herbaceous types of cover. Tree and shrub cover is less than 10%. Permanent wetlands lands with a permanent mixture of water and herbaceous or woody vegetation. The vegetation can be present in either salt, brackish, or fresh water.",Steppe: warm winter,407.0,15.64,USA,1531.0,22,2004.0,2025.0,"2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025",https://doi.org/10.17190/AMF/1246112,2004.0,2024.0,"2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024",https://doi.org/10.17190/AMF/1984575,2004.0,,"CO2, FC, G, H, H2O, LE, LW_IN, LW_OUT, NETRAD, P, PA, PPFD_IN, PPFD_OUT, RH, SWC, SW_IN, SW_OUT, TA, T_CANOPY, TS, T_SONIC, USTAR, WD, WS",,https://phenocam.nau.edu/webcam/sites/kendall/,31.73652,-109.94185,1529.0,True,2012-07-06,2026-03-23
Willard Juniper Savanna (WJS),US-Wjs,junipersavannah,POINT (34.4255 -105.8615),Willard Juniper Savannah,SAV,"Savannas: Lands with herbaceous and other understory systems, and with forest canopy cover between 10-30%. The forest cover height exceeds 2 meters.",Steppe: warm winter,361.0,15.2,USA,1931.0,19,2007.0,2025.0,"2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025",https://doi.org/10.17190/AMF/1246120,2007.0,2025.0,"2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025",https://doi.org/10.17190/AMF/1871146,2007.0,,"CO2, FC, H, H2O, LE, LW_IN, LW_OUT, NETRAD, P, PA, PPFD_IN, RH, SW_IN, SW_OUT, TA, USTAR, VPD, WD, WS",,https://phenocam.nau.edu/webcam/sites/junipersavannah/,34.4254,-105.8615,1931.0,True,2020-10-27,2026-03-23
Walnut Gulch Lucky Hills Shrub (WHS),US-Whs,luckyhills,POINT (31.7438 -110.0522),Walnut Gulch Lucky Hills Shrub,OSH,Open Shrublands: Lands with woody vegetation less than 2 meters tall and with shrub canopy cover between 10-60%. The shrub foliage can be either evergreen or deciduous.,Steppe: warm winter,320.0,17.6,USA,1370.0,19,2007.0,2025.0,"2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025",https://doi.org/10.17190/AMF/1246113,2007.0,2025.0,"2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025",https://doi.org/10.17190/AMF/1984574,2007.0,,"CO2, FC, G, H, H2O, LE, LW_IN, LW_OUT, NETRAD, P, PA, PPFD_IN, PPFD_OUT, RH, SWC, SW_IN, SW_OUT, TA, T_CANOPY, TS, T_SONIC, USTAR, WD, WS",,https://phenocam.nau.edu/webcam/sites/luckyhills/,31.7439,-110.05202,1366.0,True,2013-04-30,2026-03-23
Santa Rita Mesquite (SRM),US-SRM,srm,POINT (31.8214 -110.8661),Santa Rita Mesquite,WSA,"Woody Savannas: Lands with herbaceous and other understory systems, and with forest canopy cover between 30-60%. The forest cover height exceeds 2 meters.",Steppe: warm winter,380.0,17.92,USA,1120.0,22,2004.0,2025.0,"2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025",https://doi.org/10.17190/AMF/1246104,2004.0,2025.0,"2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025",https://doi.org/10.17190/AMF/2475756,2004.0,,"CO2, FC, G, H, H2O, LE, LW_IN, LW_OUT, NETRAD, P, PA, PPFD_IN, PPFD_OUT, RH, SWC, SW_IN, SW_OUT, TA, T_CANOPY, TS, T_SONIC, USTAR, WD, WS",,https://phenocam.nau.edu/webcam/sites/srm/,31.8214,-110.8661,1116.0,True,2018-07-20,2026-03-23
Santa Rita Grassland (SRG),US-SRG,srg,POINT (31.7894 -110.8277),Santa Rita Grassland,GRA,"Grasslands: Lands with herbaceous types of cover. Tree and shrub cover is less than 10%. Permanent wetlands lands with a permanent mixture of water and herbaceous or woody vegetation. The vegetation can be present in either salt, brackish, or fresh water.",Steppe: warm winter,420.0,17.0,USA,1291.0,18,2008.0,2025.0,"2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025",https://doi.org/10.17190/AMF/1246154,2008.0,2025.0,"2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025",https://doi.org/10.17190/AMF/2204877,2008.0,,"CO2, FC, G, H, H2O, LE, LW_IN, LW_OUT, NETRAD, P, PA, PPFD_IN, PPFD_OUT, RH, SWC, SW_IN, SW_OUT, TA, TS, T_SONIC, USTAR, WD, WS",,https://phenocam.nau.edu/webcam/sites/srg/,31.7894,-110.8276,1281.0,True,2019-09-04,2026-03-23
Sevilleta Shrubland (SES),US-Ses,sevilletashrub,POINT (34.3349 -106.7442),Sevilleta shrubland,OSH,Open Shrublands: Lands with woody vegetation less than 2 meters tall and with shrub canopy cover between 10-60%. The shrub foliage can be either evergreen or deciduous.,Steppe: warm winter,275.082,13.722,USA,1604.0,19,2007.0,2025.0,"2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025",https://doi.org/10.17190/AMF/1246125,2007.0,2025.0,"2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025",https://doi.org/10.17190/AMF/1984573,2007.0,,"CO2, FC, H, H2O, LE, LW_IN, LW_OUT, NETRAD, P, PA, PPFD_IN, RH, SW_IN, SW_OUT, TA, USTAR, VPD, WD, WS",,https://phenocam.nau.edu/webcam/sites/sevilletashrub/,34.33496,-106.74447,1603.0,True,2014-10-29,2026-03-23
Sevilleta Grassland (SEG),US-Seg,sevilletagrass,POINT (34.3623 -106.7019),Sevilleta grassland,GRA,"Grasslands: Lands with herbaceous types of cover. Tree and shrub cover is less than 10%. Permanent wetlands lands with a permanent mixture of water and herbaceous or woody vegetation. The vegetation can be present in either salt, brackish, or fresh water.",Steppe: warm winter,273.304,13.667,USA,1596.0,19,2007.0,2025.0,"2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025",https://doi.org/10.17190/AMF/1246124,2007.0,2025.0,"2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025",https://doi.org/10.17190/AMF/1984572,2007.0,,"CO2, FC, H, H2O, LE, LW_IN, LW_OUT, NETRAD, P, PA, PPFD_IN, RH, SW_IN, SW_OUT, TA, USTAR, VPD, WD, WS",,https://phenocam.nau.edu/webcam/sites/sevilletagrass/,34.36044,-106.70019,1600.0,True,2014-11-05,2026-03-23
Mountainair Pinyon-Juniper Woodland (MPJ),US-Mpj,usmpj,POINT (34.4384 -106.2377),Mountainair Pinyon-Juniper Woodland,WSA,"Woody Savannas: Lands with herbaceous and other understory systems, and with forest canopy cover between 30-60%. The forest cover height exceeds 2 meters.",Steppe: warm winter,385.0,10.5,USA,2196.0,18,2008.0,2025.0,"2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025",https://doi.org/10.17190/AMF/1246123,2008.0,2025.0,"2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025",https://doi.org/10.17190/AMF/1832161,2007.0,,"CO2, FC, H, H2O, LE, LW_IN, LW_OUT, NETRAD, P, PA, PPFD_IN, RH, SW_IN, SW_OUT, TA, USTAR, VPD, WD, WS",,https://phenocam.nau.edu/webcam/sites/usmpj/,34.43845,-106.25436,2126.0,True,2013-09-20,2026-03-23
Konza Prairie LTER (KNZ),US-Kon,konza,POINT (39.0824 -96.5603),Konza Prairie LTER (KNZ),GRA,"Grasslands: Lands with herbaceous types of cover. Tree and shrub cover is less than 10%. Permanent wetlands lands with a permanent mixture of water and herbaceous or woody vegetation. The vegetation can be present in either salt, brackish, or fresh water.","Humid Subtropical: mild with no dry season, hot summer",867.0,12.77,USA,417.0,16,2004.0,2019.0,"2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019",https://doi.org/10.17190/AMF/1246068,2004.0,2019.0,"2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019",https://doi.org/10.17190/AMF/2316062,2006.0,,"CO2, FC, G, GPP, H, H2O, LE, LW_IN, LW_OUT, NEE, NETRAD, P, PA, PPFD_IN, PPFD_OUT, RECO, RH, SC, SH, SLE, SWC, SW_DIF, SW_IN, SW_OUT, TA, TS, USTAR, VPD, WD, WS, ZL",,https://phenocam.nau.edu/webcam/sites/konza/,39.0824,-96.5603,443.0,False,2012-03-17,2019-12-18
Southern Great Plains (ARM),US-ARM,southerngreatplains,POINT (36.6058 -97.4888),ARM Southern Great Plains site- Lamont,CRO,"Croplands: Lands covered with temporary crops followed by harvest and a bare soil period (e.g., single and multiple cropping systems). Note that perennial woody crops will be classified as the appropriate forest or shrub land cover type.","Humid Subtropical: mild with no dry season, hot summer",843.0,14.76,USA,314.0,23,2003.0,2025.0,"2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025",https://doi.org/10.17190/AMF/1246027,2003.0,2024.0,"2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024",https://doi.org/10.17190/AMF/1854366,2002.0,,"CO2, FC, FC_SSITC_TEST, FETCH_70, FETCH_80, FETCH_90, FETCH_MAX, G, H, H2O, H_SSITC_TEST, LE, LE_SSITC_TEST, LW_IN, LW_OUT, MO_LENGTH, NETRAD, P, PA, PPFD_IN, PPFD_OUT, RH, SWC, SW_DIF, SW_DIR, SW_IN, SW_OUT, TA, TAU, TAU_SSITC_TEST, T_CANOPY, TS, T_SONIC, T_SONIC_SIGMA, U_SIGMA, USTAR, V_SIGMA, WD, WS, W_SIGMA, WS_MAX",,https://phenocam.nau.edu/webcam/sites/southerngreatplains/,36.6058,-97.4888,314.0,True,2012-05-16,2026-03-23
