,Flux Site Name,Site ID,site_marker,site_polygon
0,Walnut Gulch Kendall Grasslands (WKG),US-Wkg,"31.7365,-109.9419","[(31.7814910017996, -109.994712510874), (31.7814910017996, -109.889087489126), (31.6915089982004, -109.889087489126), (31.6915089982004, -109.994712510874), (31.7814910017996, -109.994712510874)]"
1,Willard Juniper Savanna (WJS),US-Wjs,"34.4255,-105.8615","[(34.4704910017996, -105.915952483422), (34.4704910017996, -105.807047516578), (34.3805089982004, -105.807047516578), (34.3805089982004, -105.915952483422), (34.4704910017996, -105.915952483422)]"
2,Walnut Gulch Lucky Hills Shrub (WHS),US-Whs,"31.7438,-110.0522","[(31.7887910017996, -110.105016673341), (31.7887910017996, -109.999383326659), (31.6988089982004, -109.999383326659), (31.6988089982004, -110.105016673341), (31.7887910017996, -110.105016673341)]"
3,Santa Rita Mesquite (SRM),US-SRM,"31.8214,-110.8661","[(31.8663910017996, -110.918961014599), (31.8663910017996, -110.813238985401), (31.7764089982004, -110.813238985401), (31.7764089982004, -110.918961014599), (31.8663910017996, -110.918961014599)]"
4,Santa Rita Grassland (SRG),US-SRG,"31.7894,-110.8277","[(31.8343910017996, -110.880542708782), (31.8343910017996, -110.774857291218), (31.7444089982004, -110.774857291218), (31.7444089982004, -110.880542708782), (31.8343910017996, -110.880542708782)]"
5,Sevilleta Shrubland (SES),US-Ses,"34.3349,-106.7442","[(34.3798910017996, -106.798593602328), (34.3798910017996, -106.689806397672), (34.2899089982004, -106.689806397672), (34.2899089982004, -106.798593602328), (34.3798910017996, -106.798593602328)]"
6,Sevilleta Grassland (SEG),US-Seg,"34.3623,-106.7019","[(34.4072910017996, -106.756311381849), (34.4072910017996, -106.647488618151), (34.3173089982004, -106.647488618151), (34.3173089982004, -106.756311381849), (34.4072910017996, -106.756311381849)]"
7,Mountainair Pinyon-Juniper Woodland (MPJ),US-Mpj,"34.4384,-106.2377","[(34.4833910017996, -106.292160888603), (34.4833910017996, -106.183239111397), (34.3934089982004, -106.183239111397), (34.3934089982004, -106.292160888603), (34.4833910017996, -106.292160888603)]"
8,Konza Prairie LTER (KNZ),US-Kon,"39.0824,-96.5603","[(39.1273910017996, -96.6181632602185), (39.1273910017996, -96.5024367397815), (39.0374089982004, -96.5024367397815), (39.0374089982004, -96.6181632602185), (39.1273910017996, -96.6181632602185)]"
9,Southern Great Plains (ARM),US-ARM,"36.6058,-97.4888","[(36.6507910017996, -97.544751896314), (36.6507910017996, -97.432848103686), (36.5608089982004, -97.432848103686), (36.5608089982004, -97.544751896314), (36.6507910017996, -97.544751896314)]"
